,SA_Activity,SMILES,Compound_ID
0,0.0,CCOC(=O)CCN1C=C(F)C(=O)NC1=O,BRD-K49267252
1,0.0,O=C/1NC(=S)N\C1=C/c1ccco1,BRD-K85924431
2,0.0,CC[C@@H](C)NC=C1C(=O)NC(=O)NC1=O,BRD-A97790207
3,0.0,Cc1cc(nc(n1)SCC(=O)NN)NN,BRD-K72088705
4,0.0,CN(/N=C/c1ccncc1)C1=NCCN1,BRD-K81185262
5,0.0,NNC(=O)[C@H]1C[C@H]2C[C@@H]1C[C@@H]2C(=O)NN,BRD-A98638969
6,0.0,CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc21,BRD-K94979336
7,0.0,Nc1c(no[n+]1[O-])C(=O)c1ccccc1,BRD-K32149043
8,0.0,NC(=O)CSc1nnnn1-c1ccccc1,BRD-K64930843
9,0.0,CC1=CC(=O)n2ncnc2N1CC(=O)NN,BRD-K79775716
10,0.0,COC(CNC1=Nc2ncccc2OC1)OC,BRD-K56049801
11,0.0,CC(C)NS(=O)(=O)c1c(noc1C)C,BRD-K49167060
12,0.0,CC1CCN(CC1)S(=O)(=O)c1c[nH]cn1,BRD-K00818265
13,0.0,NC(=O)c1cc2ccccc2nc1C(=O)N,BRD-K00053550
14,0.0,CNC(=O)c1ccc(cc1)OC(=O)C,BRD-K01755319
15,0.0,Cc1nnnn1CC(=O)Nc1ccc(cc1)F,BRD-K95243085
16,0.0,OCCN1C[C@H]2C[C@@H](C1)C1=CC=CC(=O)N1C2,BRD-A27389140
17,0.0,Nc1ccc(cc1)OCC(=O)N1CCOCC1,BRD-K12135689
18,0.0,CSC1=NC(=O)C(=NN1)C,BRD-K62091740
19,0.0,Cn1nnnc1SCC(=O)NC(C)(C)C,BRD-K22194940
20,0.0,NN1C(=S)NN=C1[C@@H](O)c1ccccc1,BRD-A11620549
21,0.0,CN1N=C(C(=O)O)c2ccccc2C1=O,BRD-K90605699
22,0.0,CN(C)CC#Cc1cncc(c1)C(=O)NN,BRD-K32007398
23,0.0,CC(C)(C)NC(=O)C[n+]1cccc(c1)/C=N/O,BRD-K20147222
24,0.0,O=C1NN=C(N2CCOCC2)C(=O)N1,BRD-K21544318
25,0.0,CCOC(=O)CCC1=NNC(=O)NC1=O,BRD-K55498981
26,0.0,CCNC(=S)N1CCC[C@@H](C1)C(=O)N,BRD-A60367741
27,0.0,C[C@H]1CCc2c(scc2C(=O)O)C1,BRD-A23213994
28,0.0,NC(=S)c1cnc(nc1N)-c1ccncc1,BRD-K85282314
29,0.0,Nc1nncn1C(=O)c1ccccc1F,BRD-K95886676
30,0.0,CCS(=O)(=O)NCCc1csc(n1)C,BRD-K57791525
31,0.0,CCOC(=O)c1snc2c1NC=NC2=O,BRD-K31894795
32,0.0,CC(=O)Nc1ccc(cc1)C(=O)NN,BRD-K35263654
33,0.0,COc1ccc(cc1)OCCC(=O)NN,BRD-K46189435
34,0.0,CCOC(=O)C[C@@H](N)c1cccc(c1)O,BRD-A96323802
35,0.0,CCOC(=O)CC(=O)c1ccn(n1)C,BRD-K76225433
36,0.0,O=C1CC(=O)N(Cc2ccccc2)C(=O)N1,BRD-K60490976
37,0.0,CCOC(=O)c1cc(n(n1)C)C(=O)OCC,BRD-K50436957
38,0.0,O=C(COc1ccccc1)N1CCNC1=O,BRD-K84740119
39,0.0,C=C[C@H]1CCC=C2[C@@H]1CCCC2=O,BRD-K28681963
40,0.0,Nc1ncnc2nc([nH]c12)N1CCCCC1,BRD-K09275277
41,0.0,CCOC(=O)/C(=N/NC(=O)C)C,BRD-K80019476
42,0.0,O=C1SSC(=C1)c1ccccc1,BRD-K95851104
43,0.0,CC1=NN(CC(=O)O)C(=O)c2cccn21,BRD-K46996112
44,0.0,COc1nsnc1N1CCOCC1,BRD-K35206454
45,0.0,CC1=NN=C(Nc2ccccc2C)N(N)C1=O,BRD-K84997886
46,0.0,CC(C)(C)OC(=O)Nc1ccccc1,BRD-K58402180
47,0.0,CN(C)CCNC(=O)c1ccccn1,BRD-K68527008
48,0.0,Cc1cc(nc(n1)N1CC(=O)NC1=N)C,BRD-K70561408
49,0.0,Nc1nnnn1/N=C\C=C\c1ccccc1,BRD-K14690185
50,0.0,C[C@H]1NC(=O)N[C@@H]1CCCCC(=O)O,BRD-A15178272
51,0.0,CN(C)C(=O)CSc1nnc(s1)N,BRD-K94150440
52,0.0,CN1CCN(CC1)C(=O)c1ccc(cc1)N,BRD-K83038207
53,0.0,N#Cc1ccc(nc1)N1CCCNCC1,BRD-K24065917
54,0.0,Nc1ccc(cc1)C(=O)N1CCOCC1,BRD-K72410872
55,0.0,CC(N)(Cc1cccc(c1)O)C(=O)O,BRD-A13149548
56,0.0,CNC(=S)Nc1cccc(c1)C(=O)NC,BRD-K89151192
57,0.0,OC(=O)CSCC(=O)N1CCCCC1,BRD-K91958092
58,0.0,NC1=NC(=O)C[C@H](Cc2ccccc2)N1,BRD-A34074183
59,0.0,CCOC1=Nc2ccccc2C(=O)N1CCO,BRD-K72931515
60,0.0,COC(=O)c1cnn2c1NC(=CC2=O)C,BRD-K78846682
61,0.0,CN(C)S(=O)(=O)c1ccc(cc1)C#N,BRD-K16333452
62,0.0,COC(=O)c1cnn2c1NC1=C(CCC1)C2=O,BRD-K64628071
63,0.0,CCNc1nc(nc(n1)N(C)C)OCCO,BRD-K45244698
64,0.0,COc1ccc(cc1)CN1C=CNC(=O)C1=O,BRD-K10546457
65,0.0,CN1C(=O)NC(=O)c2c1ncn2CC=C,BRD-K45611578
66,0.0,COC(=O)C1=CC(=O)N2C=CC=CC2=C1C#N,BRD-K00346545
67,0.0,CCSC1=C(C#N)C(=O)N[C@@H](CO)S1,BRD-A09476425
68,0.0,C(=N/c1nnc2nc[nH]n12)\c1ccco1,BRD-K47030430
69,0.0,C1CC[N+]2(C1)CCN(CC2)c1ncccn1,BRD-K88307214
70,0.0,OCC1c2ccccc2-c2ccccc21,BRD-K94885114
71,0.0,CN1C(=O)N(C)c2ncn(c2C1=O)C=C,BRD-K75140779
72,0.0,CC(C)C1=CC(=O)n2nc(nc2N1)N,BRD-K00962935
73,0.0,CN(C)CN1C(=O)c2ccccc2C1=O,BRD-K73121062
74,0.0,CNC(=O)c1ccc(cc1)N,BRD-K47808987
75,0.0,CCNc1nc(nc(n1)N(C)C)OCC=C,BRD-K64421712
76,0.0,CN[C@H]1[C@H]2CN3CC[C@@H](O2)[C@@H]13,BRD-A28909964
77,0.0,O=C1CSCC(=O)N1c1cccnc1,BRD-K81553625
78,0.0,CCCC(=O)C1=C(O)NC(=O)NC1=O,BRD-K13605630
79,0.0,NC(=N)/N=C(\N)Nc1ccc(cc1)Cl,BRD-K18824214
80,0.0,NC(=O)C/1=Cc2ccccc2O\C1=N/O,BRD-K80194099
81,0.0,CN(C)C(=O)OC1=CC(=O)N(C)C(=C1)C,BRD-K37830723
82,0.0,CC(=O)Nc1cc2c(cc1N)OCCO2,BRD-K64932358
83,0.0,O=C(NCCN1CCOCC1)c1ccccn1,BRD-K81761527
84,0.0,Cc1ccc(cc1C)N1NC(=O)/C(=N/O)C1=O,BRD-K62426841
85,0.0,CCC1=NN(C)C2=C(N(C)N1)C(=O)C2=O,BRD-K83378153
86,0.0,CC1(C)N=C(N)N=C(N)N1c1ccccc1,BRD-K83857919
87,0.0,NC(=O)c1cnn2c(c(cnc12)C#N)N,BRD-K99471787
88,0.0,OC(=O)CNS(=O)(=O)c1ccccc1,BRD-K91605397
89,0.0,CCC(=O)Nc1nn2c(nnc2s1)C,BRD-K99023700
90,0.0,NC(=O)CCN1C(=O)c2ccccc2C1=O,BRD-K23080931
91,0.0,CSc1nc(cc(n1)NC(=O)N)C,BRD-K85082048
92,0.0,OC(=O)CCCNC1=NNC(=O)NC1=O,BRD-K03054585
93,0.0,Cc1nnsc1-c1onc(c1C(=O)N)C,BRD-K29536839
94,0.0,ON/C=N\c1nonc1-c1cccnc1,BRD-K46663134
95,0.0,CSc1nc(cc(n1)OCCO)C,BRD-K67339678
96,0.0,CCN1CCC[C@@H]1CN1CNC(=S)NC1,BRD-A29721839
97,0.0,OC(=O)CCC(=O)N[C@H]1CCCCNC1=O,BRD-A27691778
98,0.0,CC1=CN2[C@H]3C[C@@H](OC2=NC1=O)[C@@H](CO)O3,BRD-A03527514
99,0.0,CCn1nnc(n1)NC(=O)Cc1ccccc1,BRD-K15434743
100,0.0,S=C1NCN(CN1)Cc1cccs1,BRD-K08065209
101,0.0,O=C(NN1CCOCC1)Nc1ccno1,BRD-K78008305
102,0.0,O=C1NC(=S)NC(=O)C1c1ccccc1,BRD-K93974658
103,0.0,O=C1NC(=O)C(=NN1c1ccccc1)C#N,BRD-K31168509
104,0.0,O=C1NC(=S)NC(=O)C1=Cc1ccccc1,BRD-K04410489
105,0.0,NNC(=O)C1=C(O)C2=C(CCCC2)NC1=O,BRD-K49713511
106,0.0,CC1=C(/C=C/C(=O)O)C(=O)NC(=O)N1,BRD-K23087802
107,0.0,CN(C)S(=O)(=O)NCc1ccc(cc1)C,BRD-K44891661
108,0.0,O=C1NC=C(/N=C/c2ccncc2)C(=O)N1,BRD-K70953719
109,0.0,CN(C)c1nc(nc(n1)Cn1ccnc1)N,BRD-K39470106
110,0.0,Nc1cc(nc(n1)SCCC(=O)O)N,BRD-K08419385
111,0.0,O=C1CSC(=Nc2nccs2)N1,BRD-K62757889
112,0.0,CN(CP(=O)(O)CN1CCCCC1)C=O,BRD-A22992002
113,0.0,Cn1nnc2cc(ccc12)C(=O)NC1CC1,BRD-K31534548
114,0.0,CCOC(=O)[C@@H](N)Cc1ccccc1,BRD-A06475750
115,0.0,CCOC(=O)CN1C=Nc2ccccc2C1=O,BRD-K96766407
116,0.0,OC(=O)[C@H]1NC(=O)[C@@H]1Cc1ccccc1,BRD-A71509333
117,0.0,COC(=O)[C@H]1CNCCN1c1ccccc1,BRD-A66661696
118,0.0,CC(C)(CO)NC(=S)NC[C@H]1CCCO1,BRD-A03877259
119,0.0,O=C1NC(=O)C(=C[C@H]2CCC=CC2)C(=O)N1,BRD-A64602753
120,0.0,O=C1N[C@H](C2=C(COC2=O)N1)c1ccccc1,BRD-A94332126
121,0.0,CCOC(=O)/C(=C\1/C=CN(C)C=N1)C#N,BRD-K67355215
122,0.0,COC(=O)CCN1C=C(F)C(=NC1=O)N,BRD-K18346355
123,0.0,c1ccc(cc1)-c1cccs1,BRD-K40752097
124,0.0,CN(C)/C=C/C(=S)c1cccs1,BRD-K12151048
125,0.0,CC(C)(C)C(=O)NC1=CNC(=O)NC1=O,BRD-K09319573
126,0.0,COc1ccc(cc1)CNC(=S)NN,BRD-K37036284
127,0.0,CC1=CC2=NC=C(C(=O)O)C(=O)N2C=C1,BRD-K23677407
128,0.0,CCOC(=O)c1ncn2c1C(=O)OC2(C)C,BRD-K38055407
129,0.0,NC(=O)CCN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O,BRD-A46703053
130,0.0,CNC(=O)C[C@H]1Nc2ccccc2NC1=O,BRD-A26095674
131,0.0,CC[C@@H](CO)NC(=O)c1ccc(cc1)N,BRD-A21402098
132,0.0,OC(=O)/C=C/C(=O)NCc1ccccc1,BRD-K94877553
133,0.0,NC(=S)C1=CN=C2C=CC=CN2C1=N,BRD-K41545879
134,0.0,COC(=O)CC1=C(C)Nc2ncnn2C1=O,BRD-K13638100
135,0.0,NC(=S)c1ccc(nc1)-n1cncn1,BRD-K01755506
136,0.0,CCC1=C(C)NC(=NC1=O)N1CCOCC1,BRD-K90019201
137,0.0,Cn1cc([n+](c1)C)[C@@H](O)c1ccccc1,BRD-A16145984
138,0.0,CS(=O)(=O)N1CC(=O)Nc2ccccc21,BRD-K34570504
139,0.0,CN(C)/C=C/C(=O)C1=C(O)C=C(C)OC1=O,BRD-K37107322
140,0.0,CC1=CC(=O)N=C(N1)SCC(=O)N,BRD-K40250568
141,0.0,NNC(=S)NCc1ccc(cc1)F,BRD-K77033949
