SMILES,Broad_plate,Well_number,Compound_ID,Plate_num,R1_50uM,R2_50uM,Mean_50uM,class,predicted_with_gnn,experimental_hit,predicted_with_gnn_plus_processing
CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,BR00119012,H20,BRD-K01825640,4,1.062964385,1.309334933,1.186149659,0.4754031131664912,1.0,False,1.0
Fc1nc(c(c(c1F)NC(=O)CCC(=O)N1CCOCC1)F)N1CCOCC1,BR00119012,B05,BRD-K55612471,4,1.010126974,1.020376642,1.015251808,0.2710514997442563,1.0,False,0.0
NC(=O)c1c(c(c(c(c1F)F)N)F)F,BR00119011,H18,BRD-K91801362,3,1.13288913,0.98395888,1.058424005,0.2405858218821658,1.0,False,0.0
Fc1ccc(cc1F)C1=NNC2=NCCN2C1,BR00119012,B06,BRD-K82602345,4,0.991478476,0.880936104,0.93620729,0.2065763325585673,1.0,False,1.0
CCOc1ccc2c(c1)C1=C(SSC1=S)C(C)(C)N2C,BR00119011,O16,BRD-K77911970,3,1.38676297,1.435616499,1.411189734,0.1548817042882243,0.0,False,0.0
CCSC1=C(C#N)C(=O)N[C@@H](CO)S1,BR00119009,C20,BRD-A09476425,1,0.90813268,1.171845439,1.039989059,0.1474850080141001,0.0,False,0.0
Cc1ccc(cc1C)N1NC(=O)/C(=N/O)C1=O,BR00119009,D13,BRD-K62426841,1,0.852439301,0.917364117,0.884901709,0.1389052754578491,0.0,False,0.0
CC(=O)N[C@H]1C(=O)NC(=S)N(C1=O)c1ccccc1,BR00119011,P10,BRD-A26604509,3,0.974185299,0.920348879,0.947267089,0.1370783500062922,0.0,False,0.0
CN1[C@H]2N=CN(CCCO)[C@@H]2C(=O)N(C)C1=O,BR00119011,H16,BRD-A29768317,3,1.059681432,0.970917499,1.015299465,0.1318813931546174,0.0,False,0.0
Cc1nc(cs1)CSCc1ccc(cc1Cl)Cl,BR00119012,G08,BRD-K46658710,4,1.380227934,1.217468226,1.29884808,0.1316164664924144,0.0,False,0.0
Cc1nnnn1CC(=O)Nc1ccc(cc1)F,BR00119009,A16,BRD-K95243085,1,1.126837274,1.167484367,1.147160821,0.1286327560121814,0.0,False,0.0
CCOc1ccc(cc1)NC1=NC(=O)/C(=C/c2cc(c(c(c2)OC)OCc2ccccc2)Br)S1,BR00119010,O24,BRD-K78017478,2,1.299336745,1.298829804,1.299083274,0.1247867214803894,0.0,False,0.0
CC[C@H]1CN(C)N1C(=O)[C@@H]1CCCO1,BR00119010,E21,BRD-K56409717,2,1.245553754,0.895474126,1.07051394,0.1225013503804803,0.0,False,0.0
CC(C)NC(=O)Cn1ccc(n1)[N+](=O)[O-],BR00119012,A24,BRD-K65204698,4,1.014669557,1.13239778,1.073533668,0.121301185991615,0.0,False,0.0
[O-][N+](=O)c1ccn(n1)CC(=O)Nc1cccnc1,BR00119011,O20,BRD-K37545946,3,0.932875241,0.997266411,0.965070826,0.1186429987351099,0.0,False,0.0
Fc1ccc(cc1)/C=C\1/SC2=NCCN2C1=O,BR00119012,D07,BRD-K46891755,4,0.867872406,0.81789492,0.842883663,0.116415850034294,0.0,False,0.0
Fc1ccccc1C(=O)N1CCNCC1,BR00119009,L21,BRD-K91289705,1,0.994088671,0.928651595,0.961370133,0.1129621980828233,0.0,False,0.0
Clc1ccc(cc1)NC(=O)c1sc2ccccc2c1Cl,BR00119012,A04,BRD-K81007147,4,1.003671725,1.048967811,1.026319768,0.1085838666806618,0.0,False,0.0
OCCNc1ccc2nonc2c1[N+](=O)[O-],BR00119012,E18,BRD-K90378519,4,0.980958811,0.981473904,0.981216357,0.107518044176201,0.0,False,0.0
CN(C)C(=O)CSc1nnc(s1)N,BR00119009,C04,BRD-K94150440,1,1.006804055,1.103094436,1.054949246,0.1044848697880903,0.0,False,0.0
Cc1ccc(cn1)CCSc1ccc(c(c1)Cl)Cl,BR00119012,E15,BRD-K92973148,4,1.109824714,1.001628334,1.055726524,0.1025905246535937,0.0,False,0.0
O=C(NCc1csnn1)c1csnn1,BR00119011,J09,BRD-K18547292,3,0.870648697,0.873772519,0.872210608,0.0982339436809221,0.0,False,0.0
O=C1CSC(=Nc2nccs2)N1,BR00119009,E16,BRD-K62757889,1,0.914490371,0.920955588,0.91772298,0.0978335761232301,0.0,False,0.0
C[C@H]1CCc2c(scc2C(=O)O)C1,BR00119009,B04,BRD-A23213994,1,1.376313095,1.366041366,1.371177231,0.0973393881693482,0.0,False,0.0
CCN1C(=S)NC(=O)/C(=C\c2ccc[nH]2)C1=O,BR00119011,B19,BRD-K85129386,3,0.96215832,1.092814487,1.027486404,0.0950986821058904,0.0,False,0.0
Nc1nncn1C(=O)c1ccccc1F,BR00119009,B06,BRD-K95886676,1,0.825482688,0.946352413,0.88591755,0.094318628058924,0.0,False,0.0
CCOC(=O)c1ncn2c1C(=O)OC2(C)C,BR00119009,F09,BRD-K38055407,1,0.894908681,0.941734808,0.918321745,0.0921937071252614,0.0,False,0.0
CC(C)C[C@@H]1NC(=O)[C@H]2C[C@H]([C@H](N2C1=O)c1ccc(cc1)O)C(=O)OCCOc1ccc(cc1)[C@H]1N2[C@@H]([C@@H](C(=O)OCC=C)[C@]11C(=O)Nc3ccc(cc31)I)C(=O)O[C@@H]([C@@H]2c1ccccc1)c1ccccc1,BR00119010,A19,BRD-K30615734,2,1.147789345,1.031805893,1.089797619,0.0918955067044104,0.0,False,0.0
Cc1ccc(s1)C=Nn1nnnc1N,BR00119009,G09,BRD-K71760540,1,1.04545882,1.193650794,1.119554807,0.0913509196291367,0.0,False,0.0
