Score,Grow_or_Mut,Algorithm_Params,Round,SMILES,ACTIVITY,sa_score,max_tan_sim_to_abx,hepg2_pred_tox,primary_pred_tox,max_tan_sim_to_ts,tan_sim_to_orig_mol
modified_score,mutate,0_minsize_6_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](OCCc3nnc(C(=O)O)s3)[C@@H]3CC[C@H]2O3)cc1F,0.665779531,4.978052716,0.491024287,0.067598708,0.096404377,0.565397351,0.619917012
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CNC1C[C@H]2C[C@@H](NC(=O)Nc3cc(F)c(SC)c(C(=O)O)c3)[C@@H]1O2,0.644493207,4.84449599,0.475115444,0.02654246,0.04632235,0.518231187,0.622769754
modified_score,mutate,0_minsize_6_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CNC1C[C@H]2O[C@@H]1C[C@H]2NC(=O)Nc1cc(F)c(SC)c(C(=O)O)c1,0.636295408,4.83614415,0.463001028,0.025595462,0.044956355,0.512445095,0.621016365
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CN[C@@H]1[C@@H](NC(=O)Nc2cc(F)c(SC)c(C(=O)O)c2)[C@H]2CC[C@@H]1O2,0.635987927,4.750275923,0.491290984,0.0356185,0.050973706,0.514935989,0.609594706
modified_score,mutate,0_minsize_6_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](C)[C@@H]3CC(C)[C@H]2O3)cc1C(=O)O,0.634612998,4.880220632,0.498206048,0.031601892,0.048505274,0.530534351,0.695238095
modified_score,mutate,0_minsize_6_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,CSc1c(F)cc(NC(=O)N[C@@H]2C[C@@H]3CC(C)[C@H]2O3)cc1C(=O)O,0.618008244,4.723927694,0.483324782,0.039098332,0.052200161,0.525908739,0.671875
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](C)[C@@H]3CC[C@H]2O3)cc1C(=O)O,0.613538732,4.687757764,0.492567914,0.03189148,0.047633569,0.531490015,0.69895288
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](N(C)C)[C@@H]3CC[C@H]2O3)cc1N(C)CC(=O)O,0.600356753,4.964123705,0.486956522,0.095205818,0.09614085,0.510416667,0.599670511
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CNC1C[C@H]2O[C@@H]1[C@H](O)[C@H]2NC(=O)Nc1cc(F)c(SC)c(C(=O)O)c1,0.599433681,4.959442991,0.496417605,0.025710894,0.045474321,0.539524175,0.604422604
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](N(C)C)[C@@H]3CC[C@H]2O3)cc1SCC(=O)O,0.597584978,4.929842595,0.472764645,0.062848049,0.074513099,0.523966942,0.609652837
modified_score,mutate,0_minsize_6_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2O3)cc1C(=O)O,0.591311239,4.473245056,0.453751285,0.035535985,0.048893987,0.514263074,0.626527051
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](C(=O)O)[C@@H]3CC(C)[C@H]2O3)cc1F,0.589348309,4.915340994,0.493961353,0.090328988,0.10915958,0.558277027,0.748161765
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](N(C)C)[C@@H]3CC[C@H]2O3)cc1CSCC(=O)O,0.587756965,4.947728588,0.493413831,0.057863529,0.065669963,0.520912548,0.600819672
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](N(C)C)[C@@H]3CC[C@H]2O3)cc1NCC(=O)O,0.58581422,4.848173664,0.466940031,0.079283899,0.083355502,0.516900247,0.607627119
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 3,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](N(C)C)[C@@H]3CC[C@H]2O3)cc1COCC(=O)O,0.585582434,4.890767242,0.496145374,0.053595221,0.066443761,0.528330781,0.606760099
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](C(=O)O)[C@H]3O[C@@H]2CC3C)cc1F,0.583923584,4.915340994,0.499697885,0.142557462,0.145291175,0.550713154,0.741112124
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1c(F)cc(N(C)C(=O)N[C@@H]2[C@@H](OCC(=O)O)[C@@H]3CC[C@H]2O3)cc1F,0.583495414,4.95475336,0.483794466,0.089244109,0.077755002,0.588235294,0.648409894
modified_score,mutate,0_minsize_4_maxsize_-2_mininc_2_maxinc_2_radius,Round 2,CSc1c(F)cc(NC(=O)N[C@@H]2[C@@H](NC(N)=O)[C@@H]3CC[C@H]2O3)cc1C(=O)O,0.582174487,4.782116146,0.493340164,0.028386418,0.044703451,0.515831135,0.607584501
