,Name,smiles,ACTIVITY,tan to nearest abx,row_num,matching_frags,cluster
0,BRD-K26589290,Oc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)O,0.203643961623311,0.3700234192037471,0,"[0, 7]",20
1,BRD-K07179331,Oc1cc(cc(c1)C1CCCCC1)C1CCCCC1,0.3121060699224472,0.4258241758241758,1,[61],0
2,BRD-K01826743,CN[C@@H](CC(C)C)C(=O)N[C@H]1[C@@H](O)c2ccc(c(c2)Cl)Oc2cc3cc(c2O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O[C@H]2C[C@@](C)(N)[C@@H](O)[C@@H](C)O2)Oc2ccc(cc2Cl)[C@@H](O)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H]3NC(=O)[C@@H](CC(=O)N)NC1=O)c1ccc(c(c1)-c1c(cc(cc1[C@@H](NC2=O)C(=O)O)O)O)O,0.5429364830255509,1.0,2,"[2, 9, 10]",8
3,BRD-K81916719,CSc1nc2cc(c(cc2[nH]1)Oc1cccc(c1Cl)Cl)Cl,0.4513999089598656,0.33238636363636365,3,[28],26
4,BRD-K01649396,CN[C@@H]1C[C@@H](c2ccc(c(c2)Cl)Cl)c2ccccc21,0.2424270011484623,0.3391566265060241,4,[4],12
5,BRD-K76656794,CC(C)c1cc(c(cc1OC(=O)NC1(Oc2cc(c(cc2O1)Cl)Cl)C(F)(F)F)C)Cl,0.231833666190505,0.4579587519830777,5,[1],10
6,BRD-A52756611,COc1ccc(cc1)CNC(=O)N[C@]1(Oc2ccc(cc2O1)Cl)C(F)(F)F,0.2085132196545601,0.3834666666666667,6,[1],10
7,BRD-A60693625,COc1ccc(cc1[C@@H](N1CCN(CC1)c1ncccc1C)C(=O)O)Cl,0.2573813416995108,0.4856651376146789,7,[15],14
8,BRD-A46095120,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)[C@@H](N1CCCC1)c1ccccn1,0.2212897807359695,0.3897202342225114,8,[17],6
9,BRD-K48793912,Clc1ccc(cc1)-n1ncc2c(ncnc12)N1CCN(CC1)c1ccc(c(c1)Cl)Cl,0.2487143203616142,0.47881572230729963,9,"[3, 21]",6
10,BRD-K41367118,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)N1CCCC1)c1ccc(cc1)OC(F)(F)F,0.2000861063599586,0.5946083418107834,10,[0],45
11,BRD-K57261999,Oc1ccccc1C(=O)c1[nH]c(c(c1-n1c(c(cc1C(=O)c1ccccc1O)Cl)Cl)Cl)Cl,0.2566208630800247,0.620845921450151,11,[59],3
12,BRD-K63065415,COc1ccc(cc1)CC1(CO)CCN(CC1)CC1=Cc2cc(ccc2OC1)Cl,0.2069317687302828,0.36907082521117607,12,[0],14
13,BRD-A15964565,OCCCN1CC2=C([C@@H](NC(=O)N2)c2ccc(c(c2)Cl)Cl)C1=O,0.2111002091318368,0.5428134556574924,13,"[4, 11]",18
14,BRD-A85846065,COc1ccc(cc1OC)[C@H]1C[C@@H](n2nc(c(c2N1)Cl)CO)C(F)(F)F,0.2185195047408342,0.62058526740666,14,[0],39
15,BRD-A63931499,Cc1ccc2c(c1)[C@H](O)CC1(CCN(CC1)C[C@@H](O)c1ccc(c(c1)Cl)Cl)O2,0.2139343775808811,0.44408427876823336,15,"[8, 16]",53
16,BRD-A52404869,O[C@@H](CN1CCC2(CC1)C[C@@H](O)c1cc(ccc1O2)Cl)c1c[nH]c2ccc(cc12)F,0.2414900496602058,0.5372507869884575,16,[5],35
17,BRD-K33395383,COc1ccc(cc1OC)C1(CCCC1)CNC(=O)c1ccccc1Cl,0.2085419375449419,0.4007220216606498,17,"[0, 7, 19]",22
18,BRD-K01827161,CN1[C@@H](C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@H]21)C(=O)NCc1ccccc1,0.2264333669096231,0.6266934269944807,18,[14],15
19,BRD-A04038374,COc1cc(cc(c1OC)OC)[C@H]1NC(=O)N[C@@](O)([C@@H]1C(=O)C)C(F)(F)F,0.3574882641434669,0.5878627968337731,19,[0],13
20,BRD-K01827138,CN1[C@@H](C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@H]21)C(=O)NCc1cccc(c1)Br,0.2529790133237838,0.6379137412236711,20,[14],15
21,BRD-K88107906,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)N1CCCCC1)c1ccc(cc1)OC(F)(F)F,0.2029442340135574,0.595116988809766,21,[0],45
22,BRD-A67809682,COc1ccc(cc1)CC1(CO)CCN(CC1)[C@@H](C)Cc1ccc(cc1)Cl,0.2152770467102527,0.3265602322206096,22,[0],14
23,BRD-A42933874,FC(F)(F)[C@@]1(NC(=O)NCCN2CCOCC2)Oc2ccc(cc2O1)Cl,0.2764291360974312,0.36668440659925494,23,[1],10
24,BRD-K74291014,CCn1c(nnc1SCc1ccc(cc1)Cl)CC(=O)Nc1ccc(c(c1)Cl)Cl,0.2716214999556541,0.40040962621607784,24,[3],5
