,Name,smiles,ACTIVITY
0,BRD-K26589290,Oc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)O,0.203643961623311
1,BRD-K07179331,Oc1cc(cc(c1)C1CCCCC1)C1CCCCC1,0.3121060699224472
2,BRD-K01826743,CN[C@@H](CC(C)C)C(=O)N[C@H]1[C@@H](O)c2ccc(c(c2)Cl)Oc2cc3cc(c2O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O[C@H]2C[C@@](C)(N)[C@@H](O)[C@@H](C)O2)Oc2ccc(cc2Cl)[C@@H](O)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H]3NC(=O)[C@@H](CC(=O)N)NC1=O)c1ccc(c(c1)-c1c(cc(cc1[C@@H](NC2=O)C(=O)O)O)O)O,0.5429364830255509
3,BRD-K81916719,CSc1nc2cc(c(cc2[nH]1)Oc1cccc(c1Cl)Cl)Cl,0.4513999089598656
4,BRD-K01649396,CN[C@@H]1C[C@@H](c2ccc(c(c2)Cl)Cl)c2ccccc21,0.2424270011484623
5,BRD-K76656794,CC(C)c1cc(c(cc1OC(=O)NC1(Oc2cc(c(cc2O1)Cl)Cl)C(F)(F)F)C)Cl,0.231833666190505
6,BRD-A52756611,COc1ccc(cc1)CNC(=O)N[C@]1(Oc2ccc(cc2O1)Cl)C(F)(F)F,0.2085132196545601
7,BRD-A60693625,COc1ccc(cc1[C@@H](N1CCN(CC1)c1ncccc1C)C(=O)O)Cl,0.2573813416995108
8,BRD-A46095120,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)[C@@H](N1CCCC1)c1ccccn1,0.2212897807359695
9,BRD-K48793912,Clc1ccc(cc1)-n1ncc2c(ncnc12)N1CCN(CC1)c1ccc(c(c1)Cl)Cl,0.2487143203616142
10,BRD-K41367118,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)N1CCCC1)c1ccc(cc1)OC(F)(F)F,0.2000861063599586
11,BRD-K57261999,Oc1ccccc1C(=O)c1[nH]c(c(c1-n1c(c(cc1C(=O)c1ccccc1O)Cl)Cl)Cl)Cl,0.2566208630800247
12,BRD-K63065415,COc1ccc(cc1)CC1(CO)CCN(CC1)CC1=Cc2cc(ccc2OC1)Cl,0.2069317687302828
13,BRD-A15964565,OCCCN1CC2=C([C@@H](NC(=O)N2)c2ccc(c(c2)Cl)Cl)C1=O,0.2111002091318368
14,BRD-A85846065,COc1ccc(cc1OC)[C@H]1C[C@@H](n2nc(c(c2N1)Cl)CO)C(F)(F)F,0.2185195047408342
15,BRD-A63931499,Cc1ccc2c(c1)[C@H](O)CC1(CCN(CC1)C[C@@H](O)c1ccc(c(c1)Cl)Cl)O2,0.2139343775808811
16,BRD-A52404869,O[C@@H](CN1CCC2(CC1)C[C@@H](O)c1cc(ccc1O2)Cl)c1c[nH]c2ccc(cc12)F,0.2414900496602058
17,BRD-K33395383,COc1ccc(cc1OC)C1(CCCC1)CNC(=O)c1ccccc1Cl,0.2085419375449419
18,BRD-K01827161,CN1[C@@H](C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@H]21)C(=O)NCc1ccccc1,0.2264333669096231
19,BRD-A04038374,COc1cc(cc(c1OC)OC)[C@H]1NC(=O)N[C@@](O)([C@@H]1C(=O)C)C(F)(F)F,0.3574882641434669
20,BRD-K01827138,CN1[C@@H](C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@H]21)C(=O)NCc1cccc(c1)Br,0.2529790133237838
21,BRD-K88107906,COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)N1CCCCC1)c1ccc(cc1)OC(F)(F)F,0.2029442340135574
22,BRD-A67809682,COc1ccc(cc1)CC1(CO)CCN(CC1)[C@@H](C)Cc1ccc(cc1)Cl,0.2152770467102527
23,BRD-A42933874,FC(F)(F)[C@@]1(NC(=O)NCCN2CCOCC2)Oc2ccc(cc2O1)Cl,0.2764291360974312
24,BRD-K74291014,CCn1c(nnc1SCc1ccc(cc1)Cl)CC(=O)Nc1ccc(c(c1)Cl)Cl,0.2716214999556541
25,BRD-K30602965,CCOc1cc(cc(c1O)Cl)C1C2=C(CCCC2=O)N(C)C2=C1C(=O)CCC2,0.2494072556495666
26,BRD-K07647200,COc1ccc(cc1OC)[C@H]1CC(=O)C=C(C1)c1cccc(c1O)Cl,0.2158018581569195
27,BRD-K43570161,OC(=O)c1cc(ccc1O)C12CC3CC(CC(C3)C2)C1,0.3055334195494651
28,BRD-K10438125,Fc1cc2ncn(c2cc1F)Cc1cc(c2c(c1)OCCCO2)Cl,0.2265116415917873
29,BRD-K05024159,CN1C(=C(N2CCCCC2)C(=O)N(CC(=O)Nc2ccc(c(c2)Cl)Cl)C1=O)N,0.2037885855883359
30,BRD-A64701269,COc1ccccc1CNC(=O)[C@H]1C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@@H]2N1C,0.2228284113109112
31,BRD-A33082788,CN[C@@H](CC(C)C)C(=O)N[C@H]1[C@@H](O)c2ccc(c(c2)Cl)Oc2cc3cc(c2O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O[C@H]2C[C@](C)(N)[C@@H](O)[C@@H](C)O2)Oc2ccc(cc2Cl)[C@@H](O)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H]3NC(=O)[C@@H](CC(=O)N)NC1=O)c1ccc(c(c1)-c1c(cc(cc1[C@@H](NC2=O)C(=O)O)O)O)O,0.5444398269057273
32,BRD-A96700325,CCOC(=O)[C@H]1CS[C@@H](CC(=O)Nc2ccc(c(c2)Cl)Cl)C(=O)N1,0.2077771242707967
33,BRD-K56357041,C1CCN(CC1)CCOc1ccc(cc1)C12CC3CC(CC(C3)C2)C1,0.2554705832153559
34,BRD-A60429763,OCCCn1c(nc2cc(c(cc12)Cl)Cl)[C@H]1CCCN1c1nc(cs1)-c1ccc(cc1)Cl,0.2007220469415188
35,BRD-A08259704,O[C@H](c1ccc(c(c1)Cl)Cl)c1nc(c[nH]1)-c1ccccc1Cl,0.3756552435457706
36,BRD-K01827259,CN1[C@@H](C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@H]21)C(=O)NCc1ccc(cc1)OC(F)(F)F,0.3211766242980957
37,BRD-A22356296,FC(F)(F)[C@@]1(NC(=O)N2CCC3(CC2)OCCO3)Oc2ccc(cc2O1)Cl,0.2619967341423034
38,BRD-A83248318,COc1cc(ccc1O)[C@H]1NC(=O)N[C@@](O)([C@@H]1C(=O)c1ccc(cc1)Cl)C(F)(F)F,0.320631318539381
39,BRD-K27667041,CCCC[C@]1(Cc2cc(c(c(c2C1=O)Cl)Cl)OCC(=O)O)C1CCCC1,0.3000388033688068
40,BRD-K21801459,FC(F)(F)c1ccc(nc1)S(=O)(=O)CCOC(=O)c1ccc(c(c1)Cl)Cl,0.2453069861978292
41,BRD-A35034803,Clc1ccc2c(c1)C(=O)[C@@]1(CC(=NO1)c1ccccc1)C1(CCNCC1)O2,0.2412018164992332
42,BRD-A24506863,COc1ccc(cc1)CCNC(=O)[C@H]1C[C@H]2Cn3c(nc4cc(c(cc34)Cl)Cl)[C@@H]2N1C,0.2259444650262594
43,BRD-K20123591,Clc1ccc(c2c3c([nH]c12)C[C@H]1CCCC(=O)N2CC[C@@H]3[C@@H]12)Cl,0.2102197363972663
44,BRD-A31926435,COc1cc(ccc1O)[C@H]1NC(=O)N[C@@](O)([C@@H]1C(=O)c1cccs1)C(F)(F)F,0.3028478153049946
45,BRD-A15113563,Clc1ccc(cc1Cl)[C@H]1Nc2ccccc2O1,0.2249952647835016
46,BRD-A26962727,CCOC(=O)C1=C(C)N=C2S/C(=C/c3cc(c(c(c3)OC)OCC(=O)O)Cl)C(=O)N2[C@@H]1c1ccccc1Cl,0.2257640670984983
47,BRD-K43269718,Cn1c(nnc1SCc1ccc(c(c1)Cl)Cl)CCNC(=O)c1ccc(c(c1)Cl)Cl,0.283351731300354
48,BRD-K04367376,CCOC(=O)N1CCN(CC1)C(=O)c1cc(c(cc1C(=O)O)Cl)Cl,0.2124320483300835
49,BRD-K94630548,C[C@@]1(Cc2cc(c(c(c2C1=O)Cl)Cl)OCC(=O)O)C1CCCC1,0.2763381280004978
