fragment_SMILES,length_of_fragment,fragment_scores,matched_fragments
O=C(O)C12CC(CN3CCOC4=CC(F)=C(F)C=C43)(C1)C2,21,0.3744652695953846,23
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)OC=C1,20,0.3721234858036041,88
CN1C=C(C(=O)O)C(=O)C(C2=CC=C(C3CC3)C=C2F)=C1,21,0.3710781816393137,4
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)C=CO1,20,0.3668779440224171,98
O=C(O)C1=CC=CC(CN2CCC3=C2C(F)=CC(F)=C3)=N1,21,0.3656196027994156,78
O=C(O)C1=CC=NC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,0.3655527740716934,73
CSC1=C(F)C=C(NC(=O)C23CCC(CC2)N3)C=C1F,20,0.361287460848689,3
CSC1=C(F)C=NC=C1NC(=O)N1CC2(F)CC1C2,19,0.3609064435586333,21
COCC12CC(NC(=O)N1)C1=C(F)C(Cl)=CC=C1O2,19,0.3577939175069332,48
O=C(O)C1=COC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,20,0.354449500888586,74
O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)C=N1,21,0.3543442137539386,90
COCC12CC(NC(=O)N1)C1=CC(Cl)=C(F)C=C1O2,19,0.3512903682887554,39
COCC12CC(NC(=O)N1)C1=CC=C(Cl)C(F)=C1O2,19,0.3488137111067771,20
CSC1=C(F)C=CC=C1C(=O)N1CC2CC1(C(=O)O)C2,20,0.3474839746952057,54
CSC1=C(F)C=C(NC(=O)N(C)C2COC2)C=C1F,19,0.3449836712330579,5
O=C(O)C1=CC(C2=CC=C(F)C=C2F)=CN(C2CC2)C1=O,21,0.3416099701076746,72
CSC1=CC=C(NC(=O)N2C3CCC2CNC3)C=C1F,20,0.3411917457357049,55
COCC12CC(NC(=O)N1)C1=C(F)C=CC(Cl)=C1O2,19,0.3386314518749714,59
O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)O1,20,0.3386085510253906,84
O=C(O)C1=CN=CC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,0.3376860678195953,97
CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CN3)C=C1F,20,0.3363337265327573,17
COC1=C(F)C=C(F)C=C1NC(=O)N1C2CCC1CNC2,21,0.3361792683601379,68
O=C(O)C1=CC=NC(N2CCC(C34CC(C3)C4)C2)=C1F,20,0.3358444332145154,57
O=C(O)C1=CN=CC=C1N1CCC2=C(F)C=C(F)C=C2C1,21,0.3339416280388832,86
O=C(O)C1=CN=CC=C1N1CCC2=CC(F)=CC(F)=C2C1,21,0.3335390854626894,95
O=C(O)C1=C(CN2CCC3=C2C=C(F)C=C3F)OC=C1,20,0.3329716131091118,77
O=C(O)C1=CC(F)=C(C2=CC=NC3=C2CCO3)C(F)=C1,20,0.3324562963098287,91
"CSC1=C(F)C=C(NC(=O)[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:10,12,15|",20,0.3318082895129919,31
