fragment_SMILES,length_of_fragment,fragment_scores,matched_fragments,Predicted_HepG2_Fragment_Toxicity,Predicted_Prim_Fragment_Toxicity
O=C(O)C12CC(CN3CCOC4=CC(F)=C(F)C=C43)(C1)C2,21,0.37446527,23,0.13351859,0.131393413
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)OC=C1,20,0.372123486,88,0.03270016,0.057442532
CN1C=C(C(=O)O)C(=O)C(C2=CC=C(C3CC3)C=C2F)=C1,21,0.371078182,4,0.04104109,0.062799811
O=C(O)C1=C(CN2CCC3=C2C(F)=CC(F)=C3)C=CO1,20,0.366877944,98,0.03578047,0.058952631
O=C(O)C1=CC=CC(CN2CCC3=C2C(F)=CC(F)=C3)=N1,21,0.365619603,78,0.04014217,0.061374685
O=C(O)C1=CC=NC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,0.365552774,73,0.03493332,0.055359707
CSC1=C(F)C=C(NC(=O)C23CCC(CC2)N3)C=C1F,20,0.361287461,3,0.1095148,0.118285367
CSC1=C(F)C=NC=C1NC(=O)N1CC2(F)CC1C2,19,0.360906444,21,0.09815573,0.081926187
COCC12CC(NC(=O)N1)C1=C(F)C(Cl)=CC=C1O2,19,0.357793918,48,0.19134909,0.249008941
O=C(O)C1=COC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,20,0.354449501,74,0.03979107,0.061569795
O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)C=N1,21,0.354344214,90,0.04732941,0.068846953
COCC12CC(NC(=O)N1)C1=CC(Cl)=C(F)C=C1O2,19,0.351290368,39,0.20195837,0.237461711
COCC12CC(NC(=O)N1)C1=CC=C(Cl)C(F)=C1O2,19,0.348813711,20,0.18594693,0.212276269
CSC1=C(F)C=CC=C1C(=O)N1CC2CC1(C(=O)O)C2,20,0.347483975,54,0.04365,0.061650026
CSC1=C(F)C=C(NC(=O)N(C)C2COC2)C=C1F,19,0.344983671,5,0.14853653,0.140822921
O=C(O)C1=CC(C2=CC=C(F)C=C2F)=CN(C2CC2)C1=O,21,0.34160997,72,0.0516051,0.073001569
CSC1=CC=C(NC(=O)N2C3CCC2CNC3)C=C1F,20,0.341191746,55,0.10803838,0.138264843
COCC12CC(NC(=O)N1)C1=C(F)C=CC(Cl)=C1O2,19,0.338631452,59,0.23094699,0.283331494
