matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
52,CSC1=C(F)C=C(NC(=O)NC2CCOC2)C=C1F,19,"[0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 52, 55, 56, 57, 58, 59, 60, 61, 62, 63, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90, 95, 96, 97, 98, 100, 101, 102, 103, 104, 105, 107, 108, 109, 110, 111, 112, 114, 115, 118, 119, 120, 121, 122, 123, 125, 126, 127, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 141, 142, 143, 144, 146, 147, 148, 150, 151, 152, 153, 154, 155, 157, 158, 162, 163, 165, 167, 168, 169, 170, 171, 172, 173, 174, 175, 177, 178, 179, 180, 181, 337, 340, 341, 612, 613, 620]",154,0.315034249,"[0.333411904, 0.39637191, 0.319078997, 0.480399963, 0.512540967, 0.459338081, 0.357085002, 0.248927375, 0.469924039, 0.294637813, 0.397471896, 0.348261037, 0.362089735, 0.365823438, 0.349430986, 0.372997301, 0.295984176, 0.333945462, 0.379835059, 0.429162677, 0.418512175, 0.437388215, 0.479159497, 0.438425723, 0.401716667, 0.348398892, 0.360686319, 0.356394511, 0.439076145, 0.343909004, 0.323145428, 0.362325091, 0.439686729, 0.323237352, 0.342318555, 0.361854284, 0.291549876, 0.381848417, 0.458501314, 0.383403694, 0.325692933, 0.443323663, 0.436228586, 0.436938318, 0.398434998, 0.326939556, 0.305156035, 0.332785241, 0.356583524, 0.436858396, 0.337981036, 0.455586709, 0.3847552, 0.34070803, 0.365227736, 0.322788085, 0.370002133, 0.351098258, 0.40269076, 0.332423941, 0.280622547, 0.340330857, 0.442616989, 0.397731446, 0.3677656, 0.365043535, 0.336301641, 0.404645621, 0.335782463, 0.414414492, 0.378752916, 0.387107833, 0.352185572, 0.389957535, 0.422017252, 0.41997977, 0.332845426, 0.370902208, 0.344820608, 0.463796962, 0.290522199, 0.28773434, 0.375004172, 0.304384397, 0.306332282, 0.310791538, 0.380502743, 0.381819295, 0.386417426, 0.342711991, 0.41880612, 0.385768166, 0.338182288, 0.357596775, 0.426923671, 0.382937182, 0.445186039, 0.409728219, 0.400600063, 0.374016587, 0.421702287, 0.335950593, 0.348489462, 0.328498493, 0.307830165, 0.438500699, 0.339291744, 0.365241222, 0.363388258, 0.476607449, 0.470662778, 0.373417079, 0.344355256, 0.337993009, 0.368864371, 0.535610026, 0.347730932, 0.444252288, 0.296559935, 0.2941384, 0.392496689, 0.420618378, 0.372463724, 0.396082097, 0.411955586, 0.415176343, 0.414815656, 0.331964815, 0.360864956, 0.431726654, 0.431197781, 0.388347629, 0.33742926, 0.409914899, 0.405644333, 0.321218326, 0.369571373, 0.371720526, 0.368640709, 0.374532343, 0.360542198, 0.374297418, 0.448436027, 0.36112399, 0.334617504, 0.461410148, 0.398111448, 0.391091375, 0.370116798, 0.382906473, 0.407400434, 0.413942861, 0.349346433, 0.337613652]",0.3777303174805195
61,CN(C(=O)C1=COC2=C(F)C=C(F)C=C12)C1CNCC1F,21,"[820, 821, 822, 823, 824, 825, 826, 827, 828, 829, 830, 831, 832, 833, 834, 835, 836, 837, 838, 839, 840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850, 851, 852, 853, 854, 855, 856, 857, 858, 859, 860, 861, 862, 863, 864, 865, 866, 867, 868, 869, 870, 871, 872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889, 890, 891, 892, 893, 894, 895, 896, 897, 898, 899, 900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919, 920, 921, 922, 923, 924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942]",123,0.309643462,"[0.096916821, 0.145528984, 0.147802981, 0.130451035, 0.162341389, 0.181844866, 0.115415455, 0.116703816, 0.153821413, 0.160921508, 0.114815101, 0.179208789, 0.164310591, 0.1559676, 0.14344059, 0.209958225, 0.130238754, 0.095413399, 0.185482256, 0.151830649, 0.105387388, 0.245078402, 0.11474331, 0.117827576, 0.110671305, 0.12751556, 0.202350299, 0.188694892, 0.234515344, 0.234819444, 0.160832357, 0.153547676, 0.169633491, 0.141700453, 0.146044871, 0.140479114, 0.129557697, 0.161931061, 0.101120375, 0.146259023, 0.114821673, 0.256227249, 0.165334418, 0.188797842, 0.146179374, 0.167083693, 0.13259401, 0.104517021, 0.140042621, 0.166291903, 0.150320167, 0.146781973, 0.12292271, 0.181026439, 0.192878205, 0.160077243, 0.138683439, 0.140712912, 0.111238455, 0.158165026, 0.121546967, 0.122395758, 0.149225676, 0.217018023, 0.174110949, 0.144784245, 0.135059798, 0.155813788, 0.085244873, 0.139677902, 0.221827305, 0.159287909, 0.22919781, 0.138111129, 0.138052842, 0.181960575, 0.164937659, 0.124874351, 0.219892208, 0.092363374, 0.143084882, 0.182977692, 0.102878573, 0.199978269, 0.250882788, 0.108382977, 0.217809497, 0.158619215, 0.139948918, 0.160243606, 0.114085538, 0.171168609, 0.14488966, 0.129161776, 0.136306296, 0.112791815, 0.112777158, 0.112467364, 0.163871096, 0.166819555, 0.237415818, 0.137753934, 0.183861403, 0.171983605, 0.157880301, 0.097471344, 0.22266546, 0.189323663, 0.140274812, 0.137982937, 0.154568779, 0.130451846, 0.111868474, 0.126359475, 0.116212608, 0.186324326, 0.141225781, 0.166802596, 0.103676925, 0.201120839, 0.180008732, 0.109515347, 0.137499569]",0.1532243677398374
73,COCC12CC(NC(=O)N1)C1=CC(F)=CC(F)=C1O2,19,"[432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475]",44,0.30462005,"[0.226142567, 0.295562395, 0.246037575, 0.153293009, 0.233910805, 0.203010328, 0.153624048, 0.279013333, 0.214678196, 0.153232875, 0.208278558, 0.232448647, 0.247178524, 0.135485288, 0.164998312, 0.200035895, 0.269403461, 0.23925766, 0.226833228, 0.217675411, 0.232679765, 0.2295377, 0.202014105, 0.250168322, 0.146151214, 0.237044883, 0.153805305, 0.302097733, 0.25631335, 0.291361633, 0.214617212, 0.264910451, 0.220882373, 0.306214354, 0.263090105, 0.238587102, 0.286137698, 0.294450402, 0.271930001, 0.249209947, 0.282733762, 0.27649719, 0.279158619, 0.269207717]",0.23452047859090913
62,COCC12CC(NC(=O)N1C)C1=CC(F)=CC(F)=C1O2,20,"[432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475]",43,0.309459939,"[0.226142567, 0.295562395, 0.246037575, 0.153293009, 0.233910805, 0.203010328, 0.153624048, 0.279013333, 0.214678196, 0.153232875, 0.208278558, 0.232448647, 0.247178524, 0.135485288, 0.164998312, 0.200035895, 0.269403461, 0.23925766, 0.226833228, 0.217675411, 0.232679765, 0.2295377, 0.202014105, 0.250168322, 0.146151214, 0.237044883, 0.153805305, 0.25631335, 0.291361633, 0.214617212, 0.264910451, 0.220882373, 0.306214354, 0.263090105, 0.238587102, 0.286137698, 0.294450402, 0.271930001, 0.249209947, 0.282733762, 0.27649719, 0.279158619, 0.269207717]",0.23294891453488376
28,O=C1NC2CC([C@@H]3CCCO3)(N1)OC1=C(F)C=C(F)C=C12,21,"[389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428]",40,0.329679767,"[0.197637664, 0.197873667, 0.225305321, 0.224665546, 0.232535914, 0.232389789, 0.212277303, 0.122505715, 0.120939848, 0.12590439, 0.126296964, 0.2129951, 0.213776388, 0.188211318, 0.187726293, 0.188321679, 0.189290968, 0.183205793, 0.182857201, 0.163738396, 0.163473716, 0.257264324, 0.257971424, 0.221521068, 0.183571443, 0.183449125, 0.242751567, 0.243498904, 0.230960087, 0.319714623, 0.317420213, 0.228370887, 0.143156664, 0.143853537, 0.239824849, 0.240005381, 0.213061661, 0.213714179, 0.248697169, 0.2483412]",0.20672693194999997
26,O=C1NC2CC([C@H]3CCCO3)(N1)OC1=C(F)C=C(F)C=C12,21,"[389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428]",40,0.330984581,"[0.197637664, 0.197873667, 0.225305321, 0.224665546, 0.232535914, 0.232389789, 0.212277303, 0.122505715, 0.120939848, 0.12590439, 0.126296964, 0.2129951, 0.213776388, 0.188211318, 0.187726293, 0.188321679, 0.189290968, 0.183205793, 0.182857201, 0.163738396, 0.163473716, 0.257264324, 0.257971424, 0.221521068, 0.183571443, 0.183449125, 0.242751567, 0.243498904, 0.230960087, 0.319714623, 0.317420213, 0.228370887, 0.143156664, 0.143853537, 0.239824849, 0.240005381, 0.213061661, 0.213714179, 0.248697169, 0.2483412]",0.20672693194999997
39,COCC12CC(NC(=O)N1)C1=CC(Cl)=CC(F)=C1O2,19,"[476, 478, 479, 480, 481, 483, 485, 486, 487, 489, 491, 492, 494, 495, 496, 499, 500, 501, 502, 503, 504, 507, 508, 509, 510, 511, 512, 518, 519]",29,0.323300459,"[0.31735585, 0.201652188, 0.285764185, 0.200847811, 0.261966944, 0.20280186, 0.255968241, 0.270029168, 0.318863209, 0.311354873, 0.31060916, 0.209930808, 0.253970036, 0.281578951, 0.279514176, 0.30033307, 0.230846505, 0.185365832, 0.333083356, 0.335601057, 0.327846604, 0.312097388, 0.317999349, 0.342535291, 0.286673368, 0.282874402, 0.28004361, 0.262630254, 0.310170254]",0.27828647586206895
79,CSC1=C(F)C=C(NC(=O)NC2COC2)C=C1F,18,"[304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 321, 322, 323, 324, 326, 586, 587, 588, 589, 590, 591, 592]",28,0.302433798,"[0.385729394, 0.378147981, 0.256020389, 0.448569506, 0.411324689, 0.376258346, 0.271514992, 0.26438824, 0.397460326, 0.394357724, 0.416811896, 0.331078845, 0.450488552, 0.396555889, 0.406947408, 0.448330008, 0.35766946, 0.359233887, 0.355904552, 0.3862772, 0.440780248, 0.401334903, 0.355621883, 0.354037424, 0.418136369, 0.36273661, 0.409226384, 0.456283421]",0.3818295187857144
47,CSC1=C(F)C=C(NC(=O)NC2(C)COC2)C=C1F,19,"[304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 321, 322, 323, 324, 326]",21,0.31843609,"[0.385729394, 0.378147981, 0.256020389, 0.448569506, 0.411324689, 0.376258346, 0.271514992, 0.26438824, 0.397460326, 0.394357724, 0.416811896, 0.331078845, 0.450488552, 0.396555889, 0.406947408, 0.448330008, 0.35766946, 0.359233887, 0.355904552, 0.3862772, 0.440780248]",0.3778023586666667
64,CSC1=CC(C(=O)N2CC3CC2(C(=O)O)C3)=CC=C1F,20,"[209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224]",16,0.308248215,"[0.396460228, 0.31867014, 0.08294123, 0.377238069, 0.140322788, 0.128523348, 0.177530598, 0.145219137, 0.359786312, 0.100866963, 0.122651364, 0.151886295, 0.12297156, 0.360018862, 0.349935457, 0.109524221]",0.21528416075
10,CSC1=C(F)C=CC=C1C(=O)N1CC2CC1(C(=O)O)C2,20,"[708, 709, 710, 711, 712, 713, 714, 715, 716, 717, 718, 719, 720, 721, 722]",15,0.347483975,"[0.179095645, 0.377252407, 0.310930721, 0.083104954, 0.394700191, 0.405980107, 0.185331097, 0.131838015, 0.132011188, 0.161109293, 0.152008755, 0.376547489, 0.176265647, 0.142748897, 0.367487424]",0.23842745533333334
88,CSC1=CC=C(NC(=O)N2CN(C)C(=O)C2C)C=C1F,20,"[195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208]",14,0.300100537,"[0.206764492, 0.171530856, 0.321293537, 0.309809788, 0.214492513, 0.457647472, 0.105513037, 0.228229894, 0.114644964, 0.365174677, 0.275650094, 0.399309452, 0.263436365, 0.342764136]",0.26973294835714284
27,CSC1=CC=CC(F)=C1C(=O)N1CC2CC1(C(=O)O)C2,20,"[593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606]",14,0.330541694,"[0.295517781, 0.319581783, 0.323403214, 0.068785004, 0.379130425, 0.088110343, 0.299587355, 0.408807907, 0.153019139, 0.144486672, 0.129963684, 0.134846472, 0.362489228, 0.184957718]",0.23519190892857142
80,"CSC1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2O3)C=C1F |&1:10,12,15|",20,"[334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 1054]",14,0.301969276,"[0.215003415, 0.345871813, 0.253985257, 0.370116798, 0.105941172, 0.104075533, 0.382906473, 0.407400434, 0.214195532, 0.343214929, 0.279780802, 0.284026736, 0.236205651, 0.32099137]",0.27597970821428575
69,"CSC1=CC=C(NC(=O)N[C@@H]2COC[C@H]2F)C=C1F |&1:10,14|",19,"[610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621]",12,0.306087146,"[0.165528032, 0.259810063, 0.413942861, 0.349346433, 0.342780527, 0.373991999, 0.303736159, 0.194512095, 0.166821975, 0.253107776, 0.337613652, 0.284167396]",0.2871132473333333
13,CSC1=CC=C(NC(=O)N2C3CCC2CNC3)C=C1F,20,"[232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]",11,0.341191746,"[0.499863838, 0.285535868, 0.401133902, 0.235669348, 0.490604568, 0.127078958, 0.39102486, 0.450256094, 0.240457873, 0.355179155, 0.139521635]",0.3287569180909091
16,CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CN3)C=C1F,20,"[294, 295, 296, 297, 298, 299, 300, 301, 302, 303]",10,0.336333727,"[0.429943277, 0.395959257, 0.379184751, 0.405797116, 0.363720202, 0.4142056, 0.378649972, 0.408752406, 0.3683719, 0.343477025]",0.38880615059999996
41,CSC1=CC=C(NC(=O)N2C3CCC2COC3)C=C1F,20,"[186, 187, 188, 189, 190, 191, 192, 193, 194]",9,0.32099329,"[0.242799035, 0.12244484, 0.414115347, 0.439390077, 0.339599298, 0.298090845, 0.133171672, 0.448142608, 0.337963665]",0.30841304300000005
14,O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)O1,20,"[969, 970, 971, 972, 973, 974, 975, 976, 977]",9,0.338608551,"[0.373182174, 0.378675333, 0.097682653, 0.113186974, 0.108453566, 0.109124572, 0.103357181, 0.324508793, 0.105428273]",0.19039994655555556
11,CSC1=C(F)C=C(NC(=O)N(C)C2COC2)C=C1F,19,"[307, 311, 316, 586, 587, 589, 590, 591, 592]",9,0.344983671,"[0.448569506, 0.26438824, 0.450488552, 0.401334903, 0.355621883, 0.418136369, 0.36273661, 0.409226384, 0.456283421]",0.3963095408888889
57,O=C(O)C1=COC(CN2CCC3=C2C=C(F)C=C3F)=C1,20,"[746, 747, 748, 749, 750, 751, 752, 753]",8,0.312124465,"[0.306526727, 0.29233575, 0.072446368, 0.075167033, 0.091515332, 0.073484265, 0.0806365, 0.074459671]",0.13332145574999998
42,O=C(O)C1=CC=CC(CN2CCC3=C2C=C(F)C=C3F)=N1,21,"[1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018]",8,0.320098487,"[0.39327664, 0.108546096, 0.301215428, 0.112978721, 0.111604909, 0.098061761, 0.122304234, 0.101203434]",0.168648902875
20,O=C(O)C1=CN=CC=C1N1CCC2=CC(F)=CC(F)=C2C1,21,"[991, 992, 993, 994, 995, 996, 997]",7,0.333539085,"[0.095622979, 0.099956526, 0.093241563, 0.096825712, 0.095321188, 0.334076524, 0.098085261]",0.13044710757142858
82,"CSC1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:10,12,15|",20,"[327, 328, 329, 330, 331, 332, 333]",7,0.301797682,"[0.295645415, 0.246704006, 0.244139918, 0.115122094, 0.111042966, 0.406977531, 0.4012168]",0.26012124714285717
19,O=C(O)C1=CN=CC=C1N1CCC2=C(F)C=C(F)C=C2C1,21,"[984, 985, 986, 987, 988, 989, 990]",7,0.333941628,"[0.090749847, 0.339854855, 0.092057444, 0.095279161, 0.093703404, 0.088210454, 0.09083938]",0.12724207785714287
77,O=C(O)C1=CN=CC=C1N1CCC2=C(F)C(F)=CC=C2C1,21,"[1041, 1042, 1043, 1044, 1045, 1046, 1047]",7,0.302750277,"[0.082508114, 0.276222927, 0.080791411, 0.084510547, 0.083647847, 0.08308549, 0.07723072]",0.10971386514285715
34,O=C(O)C1=CN=CC=C1N1CCC2=CC=C(F)C(F)=C2C1,21,"[1000, 1001, 1002, 1003, 1004, 1005, 1006]",7,0.325136029,"[0.089007203, 0.291895605, 0.0889732, 0.091913383, 0.083897261, 0.089594616, 0.091373755]",0.1180935747142857
53,O=C(O)C1=CC=CC(CN2CCC3=C2C=C(F)C(F)=C3)=N1,21,"[1029, 1030, 1031, 1032, 1033, 1034]",6,0.314013864,"[0.291620528, 0.359350557, 0.111083589, 0.11918537, 0.115606189, 0.10411116]",0.18349289883333333
84,CC1=CC=C(F)C(C2=CN(C3CC3)C(=O)C(C(=O)O)=C2)=C1,21,"[348, 349, 350, 351, 353, 354]",6,0.301511411,"[0.226231985, 0.152241857, 0.315732833, 0.126108555, 0.368176087, 0.294470029]",0.24716022433333332
55,O=C(O)C1=COC(CN2CCC3=C2C=C(F)C(F)=C3)=C1,20,"[1035, 1036, 1037, 1038, 1039, 1040]",6,0.313100918,"[0.284087441, 0.266626832, 0.076905424, 0.088896696, 0.074772069, 0.085030547]",0.14605316816666666
44,O=C(O)C1=CC=C(CN2CCC3=C2C=C(F)C=C3F)C=N1,21,"[1022, 1023, 1024, 1025, 1026, 1027]",6,0.319361947,"[0.100960957, 0.108086871, 0.095216163, 0.170248771, 0.290461796, 0.103279507]",0.14470901083333335
15,O=C(O)C1=CN=CC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,21,"[978, 979, 980, 981, 982, 983]",6,0.337686068,"[0.331794898, 0.297115756, 0.092658089, 0.108941066, 0.087531244, 0.100111912]",0.1696921608333333
8,O=C(O)C1=COC(CN2CCC3=C2C(F)=CC(F)=C3)=C1,20,"[958, 959, 960, 961, 962]",5,0.354449501,"[0.105966401, 0.350276378, 0.092097325, 0.08697132, 0.099933345]",0.1470489538
40,CSC1=C(F)C=CC=C1C(=O)N1CC2(C(=O)O)CC1C2,20,"[723, 724, 725, 726, 727]",5,0.32139891,"[0.165130759, 0.286342011, 0.104092507, 0.130089898, 0.092224612]",0.1555759574
9,O=C(O)C1=CC=C(CN2CCC3=C2C(F)=CC(F)=C3)C=N1,21,"[963, 964, 965, 966, 967]",5,0.354344214,"[0.126938821, 0.11542864, 0.320636298, 0.104938707, 0.192044161]",0.17199732539999998
4,O=C(O)C1=CC=CC(CN2CCC3=C2C(F)=CC(F)=C3)=N1,21,"[950, 951, 952, 953, 954]",5,0.365619603,"[0.451810603, 0.13164008, 0.124520037, 0.123410919, 0.153960165]",0.19706836079999998
51,O=C(O)C1=CC=NC(N2CC3=CC=CC=C3C3(CC3)C2)=C1F,22,"[755, 756, 757, 758, 759]",5,0.315143734,"[0.109561179, 0.117334748, 0.066648427, 0.096454387, 0.058545179]",0.089708784
78,O=C(O)C1=CC=C(CN2CCC3=C2C=C(F)C(F)=C3)C=N1,21,"[1048, 1049, 1050, 1051, 1052]",5,0.302609038,"[0.10978163, 0.166671715, 0.270007521, 0.100434003, 0.107734422]",0.1509258582
