Structure,ID,Mol Weight,Smiles,query_ID,ACTIVITY,Predicted_HepG2_Compound_Toxicity,Predicted_Prim_Compound_Toxicity
,PV-003894697610,358.4,"CO[C@]12CCC[C@]1(CCO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:24,t:16,19|",450614896,0.333411904,0.223065078,0.26728722
,PV-002135284028,358.4,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(C)CCOC2=O)C=C1F,450614896,0.39637191,0.159739455,0.24189001
,PV-007162233169,388.43,CCOC(=O)CC1(COC(C)C1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896,0.319078997,0.096676346,0.10495957
,PV-004128670154,360.42,"CN([C@@H]1COC[C@H]1O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:23,t:12,15|",450614896,0.480399963,0.081077672,0.10531891
,PV-006544793912,386.46,"CO[C@@H]1CN([C@H]2COC[C@@H]12)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,5,9,c:26,t:15,18|",450614896,0.442371123,0.042440651,0.06817555
,PV-006538823333,374.45,"CO[C@H]1COC[C@H]1N(C)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:24,t:13,16|",450614896,0.512540967,0.061459515,0.10225864
,PV-006512116701,374.45,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC(C)(C)[C@H]2O)C=C1F |&1:14,20,c:5,23,t:8|",450614896,0.459338081,0.136142919,0.1679992
,PV-002391055680,342.4,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2COCC2=C)C=C1F,450614896,0.397068252,0.225497373,0.24174145
,PV-003827259110,342.4,CCC12CCC(CO1)(C2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896,0.357085002,0.258838389,0.24970396
,PV-008732794823,400.44,"CC(C)(C)SC1=C(F)C=C(NC(=O)N2CC[C@@H]3C(=O)OC[C@]23CO)C=C1F |&1:16,21,c:5,26,t:8|",450614896,0.366823965,0.061348248,0.08790949
,PV-006283221370,380.41,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2OC2=CC=CC=C2)C=C1F |&1:11,15,c:2,20,22,25,t:5,18|",450614896,0.248927375,0.22481031,0.25762832
,PV-006238109102,374.45,"CCN([C@@H]1COC[C@H]1O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:3,7,c:24,t:13,16|",450614896,0.469924039,0.062128524,0.08932064
,PV-006201569944,372.43,"CCO[C@]12CCC[C@]1(CCO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:3,7,c:25,t:17,20|",450614896,0.294637813,0.225582646,0.2699136
,PV-006168517267,388.47,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(CCOC2)C(C)(C)O)C=C1F,450614896,0.397471896,0.189713673,0.22905271
,PV-002972368777,342.4,CC(C)(C)SC1=C(F)C=C(NC(=O)N2C[C@H]3C[C@@H]2CO3)C=C1F,450614896,0.386705267,0.055227003,0.07626736
,PV-006124103441,386.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N(C2CC2)[C@@H]2COC[C@H]2O)C=C1F |&1:17,21,c:5,25,t:8|",450614896,0.348261037,0.127814999,0.18292886
,PV-008505271036,396.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CC=N2)C=C1F |&1:14,18,c:5,21,23,26,t:8|",450614896,0.362089735,0.140728552,0.17447248
,PV-002960862415,328.38,CSC1=C(F)C=C(NC(=O)NC23COC(C2)CCC3)C=C1F,450614896,0.365823438,0.23494076,0.23256988
,PV-002537778541,364.36,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC22CC2(F)F)C=C1F,450614896,0.349430986,0.221284825,0.23283442
,PV-006046499829,374.4,CCOC(=O)C1(C)COCC1NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896,0.372997301,0.129839795,0.14992756
,PV-008398784279,402.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)NC23COC(C2)[C@H](O)[C@H](O)C3)C=C1F |&1:19,21,c:5,26,t:8|",450614896,0.295984176,0.20520407,0.21998857
