Smiles,Structure,ID,Mol Weight,query_ID,ACTIVITY,Predicted_HepG2_Compound_Toxicity,Predicted_Prim_Compound_Toxicity,matching_frags,tanimoto_scores_of_full_mols_to_nearest_abx,tanimoto_scores_of_full_mols_to_nearest_train_set,matching_frags_strings,tanimoto_scores_to_already_selected_mols
"CSC1=C(F)C=C(NC(=O)N[C@H]2[C@H]3CC[C@H](O3)[C@@H]2C(F)(F)F)C=C1F |&1:11,12,15,17,c:2,24,t:5|",,PV-005031423151,382.35,1160399807,0.370116798,0.269167304,0.24127648,"[0, 13]",0.4551971326164875,0.49375975039001563,"[0, 13]",0
CSC1=C(F)C=C(NC(=O)NC2COCC2(F)F)C=C1F,,PV-002970547721,324.29,1797265154,0.349346433,0.201924926,0.20914919,"[0, 14]",0.32106038291605304,0.38605442176870747,"[0, 14]",0.5510805500982319
"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C2=NC(C)=NO2)C=C1F |&1:11,15,c:2,20,24,t:5,17|",,Z2709992836,370.37,450614896,0.3847552,0.102801249,0.14318869,[0],0.4806122448979592,0.4787624541164132,[0],0.5085669781931464
CSC1=C(F)C=CC=C1C(=O)N1CC2(C)CC1(C2)C(O)=O,,Z4578054680,309.36,1875662366,0.376547489,0.074525519,0.07485107,[10],0.47208931419457734,0.47702991452991456,[10],0.37782640408460977
CC1N(CN(CCN(C)C)C1=O)C(=O)NC1=CC=C(C(F)=C1)S(C)(=O)=O,,Z2439064107,386.44,823733398,0.105513037,0.021600624,0.04459936,[11],0.39353264185478953,0.41411764705882353,[11],0.43280632411067194
COC(=O)C12CC(C1)(CN2C(=O)C1=C(F)C=CC=C1SC)C1=CC=CC=C1,,PV-007244246171,385.45,1765466898,0.088110343,0.095186985,0.11191214,[12],0.601015228426396,0.628586609989373,[12],0.6900763358778625
"CS(=O)(=O)C1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2O3)C=C1F |&1:12,14,17,c:21,t:4,6|",,Z3174802364,328.36,1160399807,0.104075533,0.040539981,0.05794149,[13],0.38461538461538464,0.48378839590443684,[13],0.6696340257171117
"CS(=O)(=O)C1=CC=C(NC(=O)N[C@@H]2COC[C@H]2F)C=C1F |&1:12,16,c:19,t:4,6|",,Z4403012517,320.31,1797265154,0.166821975,0.023703186,0.04670313,[14],0.332620320855615,0.39243697478991596,[14],0.7803234501347709
FC1=CC(NC(=O)N2C3CCC2CNC3)=CC=C1SC(F)(F)F,,Z2611590866,349.35,886508537,0.240457873,0.202827653,0.24618693,[15],0.3368421052631579,0.40387858347386174,[15],0.5667022411953042
CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CN3C(=O)OC(C)(C)C)C=C1F,,PV-002357762291,399.46,972542141,0.363720202,0.04322044,0.05867596,[16],0.40863981319322823,0.44885011895321175,[16],0.672645739910314
CC(C)(C)SC1=C(F)C=C(NC(=O)N2C3CCC2COC3)C=C1F,,Z2313176477,356.43,775421068,0.448142608,0.148542756,0.1784624,[17],0.3561491374513077,0.49675023212627667,[17],0.6139534883720931
OC(=O)C1=CC=C(O1)C(=O)N1CCC2=CC(F)=CC(F)=C12,,Z1609495519,293.226,2811211315,0.324508793,0.02715441,0.04638238,[18],0.513677811550152,0.53,[18],0.43761524277811925
CCC(=O)N1CC(F)C(C1)N(C)C(=O)C1=COC2=C(F)C=C(F)C=C12,,PV-006797990281,354.329,2643375829,0.166819555,0.03041787,0.04755016,[1],0.5005476451259584,0.4994612068965517,[1],0.45471817606079795
CN1C(=O)NC2CC1(COC(C)(C)C)OC1=C(F)C=C(F)C=C21,,Z5187954780,326.344,1694347869,0.306214354,0.119389098,0.13308396,"[2, 3]",0.6436491935483871,0.6498470948012233,"[2, 3]",0.5071880391029328
CCOC(=O)C1=COC(CN2CCC3=C2C=C(F)C=C3F)=C1,,PV-002196921695,307.297,2153344347,0.075167033,0.085830133,0.10303198,[20],0.45138178096212894,0.4594736842105263,[20],0.5625965996908809
COC(=O)C1=CC(OC)=CC(=N1)C(=O)N1CCC2=C1C=C(F)C=C2F,,PV-002343999167,348.306,2811211559,0.112978721,0.100557177,0.11176359,[21],0.548811330298432,0.5548705302096177,[21],0.5606694560669456
CCOC(=O)C1=CN=CC=C1N1CCC2=CC(F)=CC(F)=C2C1,,PV-003416873706,318.324,2811211340,0.095321188,0.134335682,0.13205232,[22],0.46130346232179226,0.47131782945736433,[22],0.4971751412429379
"CS(=O)(=O)C1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:12,14,17,c:21,t:4,6|",,Z2997685626,327.37,1082437513,0.115122094,0.027615461,0.04835088,[23],0.338409475465313,0.3841714756801319,[23],0.6470588235294118
CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1N1CCC2=C(F)C=C(F)C=C2C1,,Z1665843599,386.403,2811211336,0.093703404,0.224936496,0.21245569,[24],0.6551030668677728,0.6543895055499496,[24],0.6457461645746164
OC(=O)C1=CN=C2C=CC=CC2=C1N1CCC2=C(F)C(F)=CC=C2C1,,PV-006997281959,340.33,2811211770,0.276222927,0.171223918,0.18290191,[25],0.5455927051671733,0.5528205128205128,[25],0.7188264058679706
