Smiles,Structure,ID,Mol Weight,query_ID,ACTIVITY,Predicted_HepG2_Compound_Toxicity,Predicted_Prim_Compound_Toxicity,matching_frags,tanimoto_scores_of_full_mols_to_nearest_abx,tanimoto_scores_of_full_mols_to_nearest_train_set,matching_frags_strings,tanimoto_scores_to_already_selected_mols,row_num,cluster
CSC1=C(F)C=C(NC(=O)N2C[C@@H]3C[C@H]2CN3C(=O)OC(C)(C)C)C=C1F,,PV-002357762291,399.46,972542141,0.363720202,0.04322044,0.05867596,[16],0.40863981319322823,0.44885011895321175,[16],0.672645739910314,8,0
CSC1=C(F)C=CC=C1C(=O)N1CC2(C)CC1(C2)C(O)=O,,Z4578054680,309.36,1875662366,0.376547489,0.074525519,0.07485107,[10],0.47208931419457734,0.47702991452991456,[10],0.37782640408460977,3,1
CC1N(CN(C)C1=O)C(=O)NC1=CC=CC(F)=C1S(C)(=O)=O,,Z2841220775,329.35,893304786,0.144191877,0.019233983,0.04126817,[51],0.42973939703628,0.4423791821561338,[51],0.7694704049844237,35,10
"CSC1=C(F)C=C(NC(=O)N[C@H]2[C@H]3CC[C@H](O3)[C@@H]2C(F)(F)F)C=C1F |&1:11,12,15,17,c:2,24,t:5|",,PV-005031423151,382.35,1160399807,0.370116798,0.269167304,0.24127648,"[0, 13]",0.4551971326164875,0.49375975039001563,"[0, 13]",0,0,11
CC1=CC(=C(F)C=C1F)C1=CN(C2CC2)C(=O)C(=C1)C(O)=O,,Z3256637994,305.281,1199075771,0.368176087,0.056498066,0.07296805,"[28, 53]",0.5368055555555555,0.48814589665653496,"[28, 53]",0.4428399518652226,17,12
CSC1=C(F)C=C(NC(=O)NC2(COC2)C2=NC=CO2)C=C1F,,Z5160821510,341.33,1000495821,0.448330008,0.289335426,0.30956513,"[7, 8]",0.4065540194572453,0.40976514215080345,"[7, 8]",0.5027322404371585,52,13
"COC(=O)[C@]12CO[C@H](C1)[C@@H](C2)NC(=O)C1=CC=C(Cl)C(F)=C1O |&1:4,7,9,c:22,t:16,18|",,Z5008919697,343.74,2414578076,0.223570796,0.077914498,0.09004538,[66],0.4975948690539818,0.4953929539295393,[66],0.6436126932465419,45,14
CCN(C1COC1)C(=O)NC1=CC(F)=C(SC)C(F)=C1,,Z2293283756,302.34,1726839859,0.36273661,0.126857249,0.12460094,"[7, 19]",0.2931206380857428,0.4022857142857143,"[7, 19]",0.6989100817438693,50,15
COC1=C(F)C=CC(NC(=O)C23CC(C2)CN3C2CC2)=C1F,,Z3655602882,308.329,1435769908,0.229734776,0.202941579,0.19795857,[76],0.4489414694894147,0.42688971499380424,[76],0.48330550918196996,55,16
COCC12CC(NC(=O)N1CCC1=CC=CS1)C1=CC(Cl)=CC(F)=C1O2,,PV-008648935108,396.86,1694347932,0.285764185,0.115203877,0.13533318,[6],0.6995987963891676,0.6986370519939424,[6],0.8533419857235561,49,17
OC(=O)C12CC(C1)(C2)C(=O)N1CCOC2=CC(F)=C(F)C=C12,,Z4071436404,309.269,2458814106,0.320191769,0.059851804,0.07302175,[47],0.45714285714285713,0.4669603524229075,[47],0.41963578780680916,32,18
FC1=CC(F)=C2C=CC(=NC2=C1)N1[C@H]2CC[C@@H]1C(=O)NC2,,Z5023177359,289.286,1520521788,0.283990039,0.052452458,0.08572285,[65],0.46547314578005117,0.46547314578005117,[65],0.4741506646971935,44,19
CSC1=C(F)C=CC=C1NC(=O)N1[C@H]2CC[C@@H]1C(=O)NC2,,Z5008713328,309.36,886530986,0.370989879,0.019300364,0.04304212,[55],0.41100917431192663,0.4257659073055774,[55],0.677639046538025,38,2
CCN1C(NC2(CCCCC2)C1=O)C1=CC(F)=C(O)C(F)=C1,,Z1348009129,310.345,631929797,0.302330836,0.114228394,0.12909162,[45],0.4484029484029484,0.5069018404907976,[45],0.41640178003814365,30,20
CCC(=O)N1CC(F)C(C1)N(C)C(=O)C1=COC2=C(F)C=C(F)C=C12,,PV-006797990281,354.329,2643375829,0.166819555,0.03041787,0.04755016,[1],0.5005476451259584,0.4994612068965517,[1],0.45471817606079795,11,21
COC(=O)C1=C(F)C=CC(CN2C3CCC2CSC3)=C1F,,Z5593568146,313.36,2407528620,0.10704695,0.103485236,0.12822059,[59],0.3535168195718654,0.36269015212169736,[59],0.38666666666666666,41,22
CCOC(=O)[C@@H]1[C@H]2CC(C[C@@H]12)NC1COC2=CC(F)=CC(F)=C12,,Z4210728022,323.34,1694756186,0.131414871,0.189503624,0.13594341,[68],0.4617044228694714,0.46221990620114645,[68],0.6523642732049036,47,23
CC1=CC=C2N=CC=C(N3CC4(C)CC3(C4)C(O)=O)C2=C1F,,Z5188362099,300.333,2141763025,0.374594762,0.217608003,0.19491468,[54],0.5260896255371393,0.5170068027210885,[54],0.5010183299389002,37,24
"COC(=O)[C@@H]1C(F)(F)[C@@]11C[C@@H](C1)NC(=O)NC1=CN=CC(F)=C1SC |&1:4,8,10,c:20,23,t:18|",,Z5161159019,375.37,2127856827,0.371786942,0.078752784,0.08129339,[38],0.48408624229979463,0.4789311408016444,[38],0.46875,25,25
OC1=CC(Cl)=C(Cl)C(=C1)C(=O)NC1COCC1(F)F,,Z4352823111,312.09,1848484341,0.357916692,0.252755082,0.25421593,[74],0.38448074679113187,0.39595808383233533,[74],0.4206730769230769,54,26
OC(=O)C12CC(C1)N(C2)C(=O)C1=CC=CC(F)=C1SC1=CC=CC=C1,,PV-003311152726,357.4,1889018018,0.165130759,0.07312144,0.08157504,[33],0.4572192513368984,0.46056114346214927,[33],0.6634275618374559,21,27
CSC1=C(F)C=C(NC(=O)N(CC2=CC=CC=C2)C2(CO)COC2)C=C1F,,PV-006869518516,394.44,1000495821,0.26438824,0.254571847,0.24959045,"[7, 8, 19]",0.3648,0.4283347141673571,"[7, 8, 19]",0.6535947712418301,51,28
COC(=O)C1=C(CN2CCC3=CC(F)=CC(F)=C23)C=CO1,,Z1461023363,293.27,2811211192,0.113522175,0.115753137,0.12977193,[62],0.47501372872048325,0.48098663926002055,[62],0.6783536585365854,43,29
COC(=O)C1=CC(OC)=CC(CN2CCC3=CC(F)=CC(F)=C23)=N1,,Z5017482498,334.323,2811211199,0.153960165,0.136777636,0.14513912,[35],0.5015274949083504,0.5028248587570622,[35],0.7890410958904109,23,3
CC(C)(C(=O)NC1COC2=CC(F)=CC(F)=C12)S(C)(=O)=O,,Z1654107057,319.32,899668352,0.21076018,0.139520192,0.12752291,[40],0.47065158858373723,0.4682203389830508,[40],0.4629993451211526,26,30
COC(=O)C1=CC(F)=C(C(F)=C1)C1=CC=NC2=C1CCO2,,PV-008210680007,291.254,2811211358,0.11340762,0.244623819,0.26975567,[69],0.43418259023354566,0.4335627316040233,[69],0.4466966966966967,48,31
"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C2=NC(C)=NO2)C=C1F |&1:11,15,c:2,20,24,t:5,17|",,Z2709992836,370.37,450614896,0.3847552,0.102801249,0.14318869,[0],0.4806122448979592,0.4787624541164132,[0],0.5085669781931464,2,32
"CC(C)(C)SC1=C(F)C=C(NC(=O)[C@@H]2C[C@H]3CC[C@@H]2N3)C=C1F |&1:13,15,18,c:5,22,t:8|",,PV-008336344786,340.43,2634607977,0.361281939,0.093867739,0.12137495,"[52, 58]",0.36235955056179775,0.3741236456341619,"[52, 58]",0.4702868852459016,36,33
CC(C)(C)OC(=O)C1=CC=C(C=N1)C(=O)N1CCC2=CC(F)=CC(F)=C12,,Z2474243954,360.361,2811211254,0.104938707,0.15519723,0.14076247,[34],0.5288753799392097,0.5555555555555556,[34],0.6965632858340318,22,34
COC(=O)C12CCC(CC1)(CO2)NC(=O)C1=C(O)C=C(Cl)C=C1F,,Z6125899560,357.76,2534098224,0.265303253,0.08068652,0.09186233,[43],0.49074074074074076,0.4871638141809291,[43],0.49636002647253474,28,35
OC(=O)C1=CN=C2C=CC=CC2=C1N1CCC2=C(F)C(F)=CC=C2C1,,PV-006997281959,340.33,2811211770,0.276222927,0.171223918,0.18290191,[25],0.5455927051671733,0.5528205128205128,[25],0.7188264058679706,15,36
CN1C(=O)NC2CC1(COC(C)(C)C)OC1=C(F)C=C(F)C=C21,,Z5187954780,326.344,1694347869,0.306214354,0.119389098,0.13308396,"[2, 3]",0.6436491935483871,0.6498470948012233,"[2, 3]",0.5071880391029328,12,37
OC(=O)C1=CC(=CN(C2CC2)C1=O)C1=CC(=CC=C1F)C1(CC1)C#N,,Z3775981838,338.338,1199075771,0.152241857,0.056984225,0.07802197,[28],0.5389784946236559,0.5183403487672881,[28],0.8630259623992838,18,38
CC(C)(C)SC1=C(F)C=C(NC(=O)N2C3CCC2COC3)C=C1F,,Z2313176477,356.43,775421068,0.448142608,0.148542756,0.1784624,[17],0.3561491374513077,0.49675023212627667,[17],0.6139534883720931,9,39
FC1=CC(NC(=O)N2C3CCC2CNC3)=CC=C1SC(F)(F)F,,Z2611590866,349.35,886508537,0.240457873,0.202827653,0.24618693,[15],0.3368421052631579,0.40387858347386174,[15],0.5667022411953042,7,4
"CS(=O)(=O)C1=CC=C(NC(=O)N[C@@H]2C[C@@H]3CC[C@H]2N3)C=C1F |&1:12,14,17,c:21,t:4,6|",,Z2997685626,327.37,1082437513,0.115122094,0.027615461,0.04835088,[23],0.338409475465313,0.3841714756801319,[23],0.6470588235294118,14,40
COC(=O)C1=NC=C(CN2CCC3=C2C=C(F)C=C3F)C=C1F,,Z3309858040,322.287,2811211571,0.170248771,0.142867784,0.17713421,[30],0.47890188103711234,0.48713119899560575,[30],0.6331914893617021,19,5
CSC1=C(F)C=C(NC(=O)NC2COCC2(F)F)C=C1F,,PV-002970547721,324.29,1797265154,0.349346433,0.201924926,0.20914919,"[0, 14]",0.32106038291605304,0.38605442176870747,"[0, 14]",0.5510805500982319,1,6
OC(=O)C1=CC=C(O1)C(=O)N1CCC2=CC(F)=CC(F)=C12,,Z1609495519,293.226,2811211315,0.324508793,0.02715441,0.04638238,[18],0.513677811550152,0.53,[18],0.43761524277811925,10,7
COC(=O)C1=CC(OC)=CC(=N1)C(=O)N1CCC2=C1C=C(F)C=C2F,,PV-002343999167,348.306,2811211559,0.112978721,0.100557177,0.11176359,[21],0.548811330298432,0.5548705302096177,[21],0.5606694560669456,13,8
CC(C)OC(=O)C1=CC=CN=C1N1CC2(C1)CC1(CC(F)(F)C1)C2,,Z4456194134,336.383,1942959523,0.13604011,0.13909214,0.13216026,[67],0.4257234726688103,0.4257234726688103,[67],0.4550898203592814,46,9
