Structure,ID,Mol Weight,Smiles,query_ID
,PV-003894697610,358.4,"CO[C@]12CCC[C@]1(CCO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:24,t:16,19|",450614896
,PV-002135284028,358.4,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(C)CCOC2=O)C=C1F,450614896
,PV-007162233169,388.43,CCOC(=O)CC1(COC(C)C1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,PV-004128670154,360.42,"CN([C@@H]1COC[C@H]1O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:23,t:12,15|",450614896
,PV-006544793912,386.46,"CO[C@@H]1CN([C@H]2COC[C@@H]12)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,5,9,c:26,t:15,18|",450614896
,PV-006538823333,374.45,"CO[C@H]1COC[C@H]1N(C)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:24,t:13,16|",450614896
,PV-006512116701,374.45,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC(C)(C)[C@H]2O)C=C1F |&1:14,20,c:5,23,t:8|",450614896
,PV-002391055680,342.4,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2COCC2=C)C=C1F,450614896
,PV-003827259110,342.4,CCC12CCC(CO1)(C2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,PV-008732794823,400.44,"CC(C)(C)SC1=C(F)C=C(NC(=O)N2CC[C@@H]3C(=O)OC[C@]23CO)C=C1F |&1:16,21,c:5,26,t:8|",450614896
,PV-006283221370,380.41,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2OC2=CC=CC=C2)C=C1F |&1:11,15,c:2,20,22,25,t:5,18|",450614896
,PV-006238109102,374.45,"CCN([C@@H]1COC[C@H]1O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:3,7,c:24,t:13,16|",450614896
,PV-006201569944,372.43,"CCO[C@]12CCC[C@]1(CCO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:3,7,c:25,t:17,20|",450614896
,PV-006168517267,388.47,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(CCOC2)C(C)(C)O)C=C1F,450614896
,PV-002972368777,342.4,CC(C)(C)SC1=C(F)C=C(NC(=O)N2C[C@H]3C[C@@H]2CO3)C=C1F,450614896
,PV-006124103441,386.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N(C2CC2)[C@@H]2COC[C@H]2O)C=C1F |&1:17,21,c:5,25,t:8|",450614896
,PV-008505271036,396.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CC=N2)C=C1F |&1:14,18,c:5,21,23,26,t:8|",450614896
,PV-002960862415,328.38,CSC1=C(F)C=C(NC(=O)NC23COC(C2)CCC3)C=C1F,450614896
,PV-002537778541,364.36,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC22CC2(F)F)C=C1F,450614896
,PV-006046499829,374.4,CCOC(=O)C1(C)COCC1NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,PV-008398784279,402.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)NC23COC(C2)[C@H](O)[C@H](O)C3)C=C1F |&1:19,21,c:5,26,t:8|",450614896
,PV-002224442869,374.4,CCOC(=O)CC1(CCOC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,PV-008341417271,360.42,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2CO)C=C1F |&1:14,18,c:5,22,t:8|",450614896
,PV-002585055884,406.46,CSC1=C(F)C=C(NC(=O)NC2CCOC22CCS(=O)(=O)CC2)C=C1F,450614896
,PV-008326580442,396.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CN=C2)C=C1F |&1:14,18,c:5,21,23,26,t:8|",450614896
,PV-003565630081,358.4,CC1COC(=O)C1NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,PV-008141898981,397.44,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CN=N2)C=C1F |&1:14,18,c:5,21,23,26,t:8|",450614896
,PV-005534785371,372.43,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2CO[C@H]3COC[C@@H]23)C=C1F |&1:14,17,21,c:5,24,t:8|",450614896
,PV-002370586208,358.4,CC1CC(NC(=O)NC2=CC(F)=C(SC(C)(C)C)C(F)=C2)C(=O)O1,450614896
,PV-002213154630,342.4,CSC1=C(F)C=C(NC(=O)NC23CCOC2CCCC3)C=C1F,450614896
,PV-005321890601,386.46,COCC12CC(C1)(CO2)NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,PV-002365796524,402.46,COC(=O)CC1(CCOC1)NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,PV-003405125385,346.39,"CO[C@@H]1[C@H](COC1(C)C)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,3,c:22,t:14,17|",450614896
,PV-003395716852,354.42,"CSC1=C(F)C=C(NC(=O)N2CC3(CCC3)[C@H]3COC[C@@H]23)C=C1F |&1:16,20,c:2,24,t:5|",450614896
,PV-002840663432,342.4,CSC1=C(F)C=C(NC(=O)NC23COC(C)(C2)CCC3)C=C1F,450614896
,PV-002258733697,342.4,CSC1=C(F)C=C(NC(=O)NC2CCOC22CCCC2)C=C1F,450614896
,PV-007698874154,403.44,"CSC1=C(F)C=C(NC(=O)N[C@H]2COC[C@H]2NC(=O)OC(C)(C)C)C=C1F |&1:11,15,c:2,25,t:5|",450614896
,PV-004766834673,374.45,"CCO[C@@H]1COC[C@H]1NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:3,7,c:24,t:13,16|",450614896
,PV-007581264198,386.46,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC3(CCC3)[C@H]2O)C=C1F |&1:14,21,c:5,25,t:8|",450614896
,PV-004487252493,354.42,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(CCOC2)C#C)C=C1F,450614896
,PV-002350418977,342.4,CSC1=C(F)C=C(NC(=O)NC2COC3(CCCC3)C2)C=C1F,450614896
,PV-002195019716,330.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2CCOC2)C=C1F,450614896
,PV-004464439397,386.46,CC(C)(C)SC1=C(F)C=C(NC(=O)NC23CCC(CO)(C2)OC3)C=C1F,450614896
,PV-002086944698,356.31,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C(F)(F)F)C=C1F,450614896
,PV-002500856865,372.43,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2C(=O)OCC2(C)C)C=C1F,450614896
,PV-006732463492,358.4,"CO[C@@H]1[C@H](COC11CCC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,3,c:24,t:16,19|",450614896
,Z2950451767,328.38,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@H]2C2CC2)C=C1F |&1:11,15,c:2,21,t:5|",450614896
,Z2295658329,346.39,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@H]2O)C=C1F |&1:14,18,c:5,21,t:8|",450614896
,Z5624399765,346.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2COC[C@@H]2O)C=C1F,450614896
,Z2840601339,346.39,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2O)C=C1F |&1:14,18,c:5,21,t:8|",450614896
,Z3592517609,397.48,"CSC1=C(F)C=C(NC(=O)N2CC3(CCN(C)CC3)[C@@H]3COC[C@H]23)C=C1F |&1:19,23,c:2,27,t:5|",450614896
,Z2295660078,384.44,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CCCC22CCOC2=O)C=C1F,450614896
,Z2838500945,330.35,CSC1=C(F)C=C(NC(=O)NC2C(=O)OCC2(C)C)C=C1F,450614896
,Z1657168111,302.34,CSC1=C(F)C=C(NC(=O)NC2CCOC2C)C=C1F,450614896
,Z3592516081,302.34,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C)C=C1F |&1:11,15,c:2,18,t:5|",450614896
,Z2295658428,356.39,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CC3CC2C(=O)O3)C=C1F,450614896
,Z2293283322,342.4,"CSC1=C(F)C=C(NC(=O)N2CC(C)(C)[C@@H]3COC[C@H]23)C=C1F |&1:15,19,c:2,22,t:5|",450614896
,Z3592515907,344.38,CSC1=C(F)C=C(NC(=O)NC23CC(CO)(C2)OC3C)C=C1F,450614896
,Z2709992786,328.38,CSC1=C(F)C=C(NC(=O)NC2COC(C2)C2CC2)C=C1F,450614896
,Z2709992751,398.43,"CSC1=C(F)C=C(NC(=O)N(C)[C@@H]2COC[C@@H]2OC2=CN(C)N=C2)C=C1F |&1:12,16,c:2,23,26,t:5,19|",450614896
,Z2709992408,328.38,CSC1=C(F)C=C(NC(=O)NC23CC2COC3(C)C)C=C1F,450614896
,Z2295658612,386.46,CN(C1CC(C)(C)OC1=O)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,Z2709992836,370.37,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@@H]2C2=NC(C)=NO2)C=C1F |&1:11,15,c:2,20,24,t:5,17|",450614896
