,Name,smiles,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
8,BRD-K96335988,FC(F)(F)c1ccc(cc1)Nc1nccc(n1)-c1cccc(c1)Cl,0.3966980600357055,0.305870236869207,0.43448275862068964,0,[1],2
42,BRD-K20597075,CN(C)C(=O)N1CCN(CC1)c1ccc(c(c1)Cl)Cl,0.332390068769455,0.32323232323232326,0.39461883408071746,1,"[49, 59]",3
66,BRD-A38251550,Clc1ccc2c(c1Cl)OC[C@H]2NC(=O)NCc1cccnc1,0.4635158628225326,0.4238733252131547,0.4476504534212696,2,"[103, 149]",6
67,BRD-A04409093,Fc1ccc(cc1Cl)N1CC[C@@H](Sc2cn[nH]n2)C1=O,0.3380192755162716,0.38913525498891355,0.3920990566037736,3,"[3, 70]",0
72,BRD-K31294592,Cc1ccc(cc1NC(=O)c1ccc(c(c1)Cl)Cl)-c1nc2ncccc2o1,0.3210327513515949,0.47723342939481267,0.47245657568238214,4,[4],8
73,BRD-K59791658,Clc1ccc(cc1Cl)C(=O)Nc1cc(ccc1Cl)-c1nc2ncccc2o1,0.4734206447005272,0.47673750717978175,0.4778936910084451,5,[4],8
84,BRD-K00496740,Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2c(c1)OCCO2,0.5355255281925202,0.360484314804623,0.4267352185089974,6,[28],9
101,BRD-A39186071,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1cccc(c1N1CCOCC1)Cl,0.5223970183730126,0.375609756097561,0.38245931283905965,7,"[8, 135, 152]",13
111,BRD-K53665955,OC(=O)[C@]1(CC[C@@H](CC1)Oc1cccc(c1F)Cl)Cc1cccc(n1)Nc1nccs1,0.30580691665411,0.47118816930137686,0.47781217750258,8,[0],2
117,BRD-K78720544,OC(=O)c1ccc(cc1)Nc1nc(cs1)-c1ccc(c(c1)Cl)Cl,0.5242390471696854,0.3517561983471074,0.43262927895120173,9,[0],2
119,BRD-A11167122,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)Cn1ccnn1,0.3902160938829183,0.3687038280725319,0.45403899721448465,10,"[15, 81]",4
120,BRD-A14333291,C[C@@H](O)CNC(=O)N[C@H]1CCN(C1)c1ccc(cc1Cl)Cl,0.3311221777647734,0.3549382716049383,0.41751990898748575,11,"[110, 124]",3
121,BRD-K42541734,FC(F)(F)c1ccc(cc1)NCc1nnc(o1)-c1cccc(c1)C#N,0.3202258163690567,0.3349282296650718,0.3679078014184397,12,[1],2
122,BRD-A40285750,Fc1cc(ccc1Cl)N1CC[C@@H](C1)NC(=O)CCc1ccncc1,0.3093686974793672,0.41302136317395727,0.4693422519509476,13,"[14, 123]",4
125,BRD-K69563599,CN(Cc1ccon1)C1CCN(CC1)c1ccc(cc1)Cl,0.3240732018277049,0.2961783439490446,0.34782608695652173,14,"[120, 132]",3
136,BRD-K87376581,Clc1ccc(cc1Cl)NC(=O)N(CCCN1CCOCC1)Cc1cccnc1,0.329511234164238,0.33721607454863134,0.48178506375227687,15,[2],6
145,BRD-K75666090,Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2c[nH]nc2c1,0.6186847931146622,0.34249471458773784,0.40459224069675376,16,[28],9
146,BRD-K73583466,Clc1ccc(cc1Cl)CNc1nccc(n1)-c1ccc2n[nH]cc2c1,0.6242959678173066,0.33053389322135573,0.3942537909018356,17,[28],9
155,BRD-K92182407,Clc1ccc(cc1Cl)S(=O)(=O)c1cccc(c1)S(=O)(=O)Nc1cccnc1,0.5974026358127594,0.3422818791946309,0.3785310734463277,18,[12],11
159,BRD-A06987532,COc1cc(c(cc1OC)C(=O)O)NC(=O)[C@@H](C)Oc1ccc(cc1Cl)Cl,0.3187223551422357,0.45306859205776173,0.45417156286721505,19,[8],7
161,BRD-K54582152,Clc1ccc(cc1Cl)NC(=O)NCCc1c[nH]c2ccccc12,0.4603087964653969,0.4568880079286422,0.44621513944223107,20,[2],10
168,BRD-K91785810,CCn1c(nnc1-c1ccc(cc1Cl)Cl)SCC(=O)Nc1ccc(c(c1)Cl)F,0.3364420348778367,0.47266223811957075,0.47472745292368684,21,[3],1
169,BRD-A77030791,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1cccc(c1)NC(=O)c1ccc(cc1Cl)Cl,0.4686730444431305,0.43230016313213704,0.4881889763779528,22,[8],7
172,BRD-A77833338,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1cc(ccc1N1CCOCC1)C(F)(F)F,0.4750611618161201,0.4388663967611336,0.41924095322153576,23,"[1, 8]",13
173,BRD-A46824949,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1ccccc1N1CCOCC1,0.3219100420176983,0.3475061324611611,0.3742746615087041,24,[8],13
180,BRD-A02265638,C[C@@H](N(c1ccccc1)S(=O)(=O)C)C(=O)Nc1ccc(c(c1)Cl)Cl,0.3108760663121939,0.34177215189873417,0.34211971444261396,25,[125],1
182,BRD-K39227016,COc1ccc2[nH]cc(c2c1)CCNC(=O)Nc1ccc(c(c1)Cl)Cl,0.4109469169378281,0.45821854912764004,0.4686423156443832,26,[2],10
185,BRD-K98036085,Cn1c(nc2ccccc12)NC(=O)c1ccc(c(c1)Cl)Cl,0.5006607256829738,0.35405405405405405,0.41171684296175753,27,"[4, 96]",5
234,BRD-K43480913,FC(F)(F)c1ccc(cc1)NC(=O)N1CCN(CC1)c1ccnc2cc(ccc12)Cl,0.5577141949534417,0.4345757335448057,0.47285886610373945,28,[1],1
237,BRD-K77234730,Cc1ccc(cc1)S(=O)(=O)CCCC(=O)Nc1nc2c(c(ccc2s1)Cl)Cl,0.3524016425013542,0.4536532170119956,0.44885799404170806,29,"[0, 30]",5
342,BRD-K43316319,FC(F)(F)c1ccc(cc1)Nc1ncnc2cc(ccc12)-c1ncccc1C(F)(F)F,0.4404856094717979,0.4493573264781491,0.4908155767817781,30,[1],2
345,BRD-K87316765,Oc1cc(c2oc(nc2c1)-c1ccc(c(c1)F)O)C=C,0.4570749145746231,0.4882075471698113,0.4700280112044818,31,[138],2
347,BRD-K55029398,CCCCN1C=CC(=C(Cl)C1=O)N1CCC(CC1)c1ccccc1,0.5253878679871559,0.43031951053704964,0.4277891854893908,32,[53],3
358,BRD-K42386263,Clc1cccc(c1Cl)Cc1cnc(s1)Nc1ccccn1,0.4904377490282058,0.33811802232854865,0.3384779137839276,33,[0],2
359,BRD-K09260752,FC(F)(F)c1ccc(cc1)NC(=O)N1CCN(CC1)c1ccccn1,0.3114789731800556,0.3328173374613003,0.417607223476298,34,[1],1
360,BRD-K53427680,Fc1ccc(cc1)C(=O)Nc1nc2c(ccc(c2s1)Cl)Cl,0.5670866239070892,0.426775956284153,0.4298245614035088,35,[0],12
361,BRD-K81009196,Fc1ccccc1C(=O)Nc1nc2c(c(ccc2s1)Cl)Cl,0.5702607893943786,0.4320785597381342,0.4305835010060362,36,"[0, 30]",12
363,BRD-A01935928,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)c1cnns1,0.5023908591270447,0.3706896551724138,0.39704433497536945,37,[15],4
364,BRD-A70536240,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)Cc1ccon1,0.434719059318304,0.3784295175023652,0.43034055727554177,38,[15],4
365,BRD-A10830688,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)c1ccnnc1,0.4017161366343498,0.36688741721854307,0.3927165354330709,39,[15],4
367,BRD-A50113095,Cn1nccc1C(=O)N[C@H]1CCN(C1)c1ccc(cc1Cl)Cl,0.3656006264686584,0.3941368078175896,0.40158520475561427,40,[15],4
368,BRD-A59145303,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)Cc1ccn[nH]1,0.3345223471522331,0.3763132760267431,0.430062630480167,41,[15],4
369,BRD-A42099674,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC1CCOCC1,0.5731796565651893,0.3278520041109969,0.4264018691588785,42,"[143, 167]",3
374,BRD-A79131674,Nc1nnc(s1)S[C@H]1CCN(C1=O)c1ccc(c(c1)F)Cl,0.6951236957311631,0.4041353383458647,0.4041353383458647,43,"[123, 145]",0
375,BRD-A09538535,Cn1ccc(n1)NC(=O)N1CC[C@@H](C1)Oc1ccc(c(c1)Cl)Cl,0.4004819127917289,0.3590673575129534,0.4200442151805453,44,"[106, 166]",6
376,BRD-A70829445,C[C@@H](Sc1cc(ccc1Cl)Cl)C(=O)N1CCO[C@@H](CO)C1,0.334485145509243,0.30505243088655865,0.3443830570902394,45,"[146, 148]",6
377,BRD-K82532743,Nc1nccnc1C(=O)Nc1ccn(n1)-c1cccc(c1)C(F)(F)F,0.3843326051533222,0.4402116402116402,0.448207171314741,46,[154],6
378,BRD-A90107315,CN([C@H]1[C@@H](O)Cc2c(cc(cc21)Cl)Cl)C(=O)N[C@H]1CCS(=O)(=O)C1,0.303319553360343,0.49354144241119485,0.49662337662337663,47,[85],6
386,BRD-A07655356,Cn1cnnc1S[C@H]1CCN(C1=O)c1ccc(c(c1)Cl)F,0.4606358855962753,0.40618101545253865,0.40414507772020725,48,"[3, 70]",0
388,BRD-A71978154,Clc1ccc(cc1Cl)[S@@](=O)Cc1nnc(o1)-c1ccccc1Cl,0.4939078080654144,0.3809768637532134,0.41687979539641945,49,[12],2
392,BRD-A50347320,Cc1ocnc1C(=O)N[C@H]1CCN(C1=O)c1ccc(c(c1)F)Cl,0.4486304756999015,0.4816053511705686,0.47491039426523296,50,"[13, 14, 123]",0
400,BRD-A89269419,FC(F)(F)c1ccc(cc1)N1CC[C@@H](Nc2ncccn2)C1=O,0.3327104634046554,0.35640785781103834,0.49404117009750814,51,"[1, 113]",0
403,BRD-A99316759,Clc1ccc(c(c1)Cl)N1CC[C@@H](C1)NC(=O)c1cn[nH]n1,0.374690501242876,0.3656006914433881,0.3932993445010925,52,[15],4
405,BRD-K90989415,Oc1c(cc(cc1C(=O)NCc1ccnc(c1)-n1ccnc1)F)Cl,0.4605395272374153,0.3937575030012005,0.4017675050985724,53,"[29, 137]",6
412,BRD-K81636213,CN(C)C1=CC(=O)N(Cc2cccc(c2Cl)Cl)N=C1,0.4151323518902063,0.33781686497672014,0.33821932681867534,54,[118],6
416,BRD-K47393618,COC(=O)c1ccc(cc1)N1CCN(CC1)c1ccncc1F,0.3278204955905676,0.37211367673179396,0.37211367673179396,55,"[16, 142]",3
464,BRD-K46536295,Fc1ccc(cc1Cl)-c1ccc(nc1)N1CCN(CCN2CCCC2)CC1,0.3117457420378923,0.34662327095199347,0.3972093023255814,56,[122],6
467,BRD-K04213179,COc1cc(cc(c1OC)OC)C(=O)Nc1nc(cs1)Cc1cccc(c1Cl)Cl,0.3359376288950443,0.4317789291882556,0.4640638864241349,57,[0],5
500,BRD-K37072124,CC(=O)c1ccc(cc1)N1CCN(CC1)C(=O)c1ccc(c(c1)Cl)Cl,0.353159292191267,0.3392330383480826,0.4934782608695652,58,[4],3
514,BRD-K30595758,Cn1c(nc2ccccc12)NC(=O)c1ccc(cc1)C(F)(F)F,0.3132413417100906,0.3583180987202925,0.4340567612687813,59,[91],5
525,BRD-K19894414,OC(=O)c1cccc(c1)NS(=O)(=O)c1cccc(c1)S(=O)(=O)c1ccc(c(c1)Cl)Cl,0.5540059253573417,0.3704109589041096,0.4441896024464832,60,[12],11
542,BRD-A99906392,Cn1cc(cn1)C(=O)N[C@H]1CCN(C1)c1ccc(cc1Cl)Cl,0.3509500777721405,0.3613500992720053,0.3899308983218164,61,[15],4
544,BRD-A58594681,Clc1ccc(cc1Cl)N1CC[C@@H](NC(=O)c2cocn2)C1=O,0.590402420759201,0.4380257992148065,0.4951830443159923,62,"[21, 27, 125]",0
545,BRD-A71864812,C[C@@H](Oc1ccc(cc1Cl)F)C(=O)NCc1csc(n1)N(C)C,0.3052954184636474,0.3490153172866521,0.38917089678510997,63,[0],1
573,BRD-A82926291,COc1cc(c(cc1Cl)OC)NC(=O)[C@@H](C)Oc1ccc(cc1Cl)Cl,0.4311390218138695,0.3912685337726524,0.3931888544891641,64,"[8, 114]",7
583,BRD-K54165697,Oc1c(cc(cc1C(=O)Nc1nc2c(s1)COCC2)F)Cl,0.364141733199358,0.4918200408997955,0.49801849405548215,65,"[0, 29]",5
588,BRD-K96402915,Clc1ccc(c(c1)Cl)-c1csc(n1)Nc1ncccn1,0.4450293749570846,0.3279503105590062,0.3884057971014493,66,[0],2
589,BRD-A08800939,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1cc(ccc1C(=O)O)Cl,0.4787228080630302,0.38552787663107946,0.38694362017804157,67,[8],7
598,BRD-K14479757,CCOc1cccc2sc(nc12)NC(=O)c1ccc(cc1Cl)Cl,0.3450849333405494,0.47763666482606293,0.4756756756756757,68,[0],12
610,BRD-A75992786,C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1c(cccc1C(=O)O)C,0.3841320031881332,0.38525564803804996,0.3858501783590963,69,[8],7
612,BRD-K58005623,Clc1cc(c(s1)Cl)C(=O)Nc1nc(cs1)-c1cccs1,0.405156552195549,0.4363157894736842,0.48518263266712613,70,[0],5
636,BRD-A24280483,Cc1ncccc1C(=O)N[C@H]1CCN(C1=O)c1ccc(c(c1)F)Cl,0.3228853966295719,0.45527065527065524,0.4880514705882353,71,"[13, 14, 123]",0
649,BRD-K24188608,Fc1c(cccc1NCC1=NOC(=C2SC=NC2=C)N1)Cl,0.418260557167232,0.4274028629856851,0.4290909090909091,72,[80],2
659,BRD-K74443966,CC1(C)CC(CC(C)(C)N1)NC(=O)c1cc(c(cc1C(=O)O)Cl)Cl,0.3603801651298999,0.3722149410222805,0.38712121212121214,73,"[4, 68]",6
