,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
0,CC1=NN=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)S1,0.5805162280797959,0.26824703680598877,0.4494818652849741,0,[0],27
1,CC(=O)C1=CC=C(NS(=O)(=O)C2=CC=CC(=C2)S(=O)(=O)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.5099747815728187,0.3481646273637375,0.4099173553719008,1,[4],56
2,CC1=NN(C2=CC=C(NC(C3=CC=C(Cl)C(Cl)=C3)=O)C=C2)C(OC(C4=CC=C(Cl)C(Cl)=C4)=O)=C1,0.5937710893154144,0.48596222562531904,0.4915590863952334,2,[0],18
3,O=C(C1=C(Cl)C=CC=C1)NC(C(NC(C2=C(Cl)C=CC=C2)=O)=C3)=CC(F)=C3Cl,0.5087220023572445,0.34880123743232794,0.46638655462184875,3,[1],67
4,ClC1=C(Cl)C=C(C=C1)C(=O)NC1CCC(CC2CCC(CC2)NC(=O)C2=CC(Cl)=C(Cl)C=C2)CC1,0.6137473443150521,0.3557312252964427,0.3256172839506173,4,[0],2
5,CC1(C)CC(CC(C)(CNC(=O)C2=CC(Cl)=C(Cl)C=C2)C1)NC(=O)C1=CC(Cl)=C(Cl)C=C1,0.5435917362570762,0.3112244897959184,0.36699239956568946,5,[0],2
8,CC(CNC(=O)C1=CC(Cl)=C(Cl)C=C1)NC(=O)C1=CC(Cl)=C(Cl)C=C1,0.54140216127038,0.3760869565217391,0.3546218487394958,6,[0],9
9,OC1=CC(F)=C(C=C1Cl)C1=CC=C(C=C1)N1CCOCC1,0.570141173005104,0.39548577036310106,0.3476005188067445,7,[30],61
10,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=CC=C1,0.684106571674347,0.3165407220822838,0.46557971014492755,8,[0],67
11,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=C(Br)C=C(Br)C=C1,0.5249081888794899,0.29991915925626517,0.4661458333333333,9,[0],43
13,OC(=O)C1=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=CC(Br)=C1,0.5167506113648415,0.37131782945736436,0.49019607843137253,10,[0],43
15,O=C(NCC1=CC=C(Cl)C(Cl)=C1)C2=CC=CN=C2SC3=CC=CC(C(F)(F)F)=C3,0.5706801253557205,0.37613212573255195,0.3953488372093023,11,[2],13
16,O=C(NCC1=CC=C(Cl)C(Cl)=C1)C2=CC=CN=C2SC3=CC=CC(Cl)=C3,0.6045532840490341,0.3555917480998914,0.38312829525483305,12,[2],13
17,FC(F)(F)C1=CC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=CC=C1,0.5114451175928116,0.32857142857142857,0.45121951219512196,13,[0],43
18,ClC1=C(Cl)C=C(CNC(=O)CCC2CCCCC2)C=C1,0.5125757279992104,0.3952254641909814,0.40828402366863903,14,[2],10
19,CC1=CC=CC(N2CCN(CC2)C(=O)NC2=CC=C(Cl)C(Cl)=C2)=C1C,0.6068212562799453,0.36023622047244097,0.39074960127591707,15,[9],40
21,CCOC1=C(C=CC=C1)N1CCN(CC1)C(=O)NC1=CC=C(Cl)C(Cl)=C1,0.5092940530180932,0.3629086057371581,0.3888888888888889,16,[9],40
24,O=C(NC1=CC=C(Cl)C(Cl)=C1)N2CCN(CC2)C3=C(C=CN4)C4=CC=C3.Cl,0.6824311089515686,0.41713370696557245,0.4467564259485924,17,[9],1
26,ClC1=C(Cl)C=C(C=C1)S(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)NCC1=CC=CC=C1,0.5222095677256584,0.30386740331491713,0.4738598442714127,18,[4],74
27,ClC1=C(Cl)C=C(C=C1)S(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)NC1=CC=C(Br)C=C1,0.6187342834472657,0.35397196261682246,0.40556492411467115,19,[4],56
28,ClC1=CC=C(OCC2=NN=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)S2)C=C1,0.5729869633913041,0.3402739726027397,0.4076923076923077,20,[0],22
