matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
9201,NC(=O)C1=CC=C(Cl)C(Cl)=C1,11,"[5, 30, 87, 90, 180, 221, 514, 556, 557, 558, 662, 664, 672, 678, 679, 699, 701, 721, 722, 728, 729, 746, 747, 849, 855, 856, 893, 924, 952, 955, 956, 957, 1030, 1043, 1067, 1109, 1157, 1214, 1239, 1285, 1375, 1439, 1525, 1532, 1539, 1551, 1554, 1635, 1767, 1768, 1928, 1929, 1930, 1931, 1932, 1992, 2009, 2011, 2014, 2087, 2159, 2177, 2193, 2247, 2254, 2287, 2302, 2303, 2305, 2356, 2387, 2414, 2453, 2491, 2548, 2628, 2629, 2644, 2654, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 3006, 3048, 3195, 3197, 3212, 3342, 3392, 3402, 3407, 3408, 3616, 3840, 3866, 4082, 4083, 4096, 4113, 4114, 4115, 4116, 4118, 4120, 4121, 4122, 4123, 4141, 4151, 4161, 4177, 4214, 4233, 4237, 4259, 4260, 4306, 4309, 4320, 4334, 4338, 4343, 4379, 4391, 4977, 5055, 5132, 5133, 5304, 5807, 5810, 5859, 5879, 5880, 6328, 6329, 6335, 6402, 6461, 6473, 6582, 6616, 6639, 6644, 6664, 6696, 6705, 6802, 6805, 6806, 6807, 6835, 6837, 6900, 6903, 6966, 7002, 7091, 7093, 7096, 7103, 7105, 7135, 7163, 7326, 7377, 7398, 8496, 8786, 8823, 8839, 8841, 8853, 8889, 8894, 8942]",190,0.2623834887146949,"[0.5937710893154144, 0.7019818139076233, 0.5911855828762055, 0.6050253742933274, 0.6636801552772522, 0.5676283067464829, 0.5114451199769974, 0.557271882891655, 0.7019818127155304, 0.6059143477678299, 0.6246965807676316, 0.5928491225838661, 0.700140153169632, 0.5573799180984497, 0.5764802861213684, 0.537502906024456, 0.5072369328141213, 0.5360999512672424, 0.5131969863176346, 0.5167506140470505, 0.5181482523679733, 0.5604735776782036, 0.5268782410025596, 0.5531784301996231, 0.6004117745161056, 0.5055852910876274, 0.5425237041711807, 0.5054066520929337, 0.6161367702484131, 0.6420834028720855, 0.6351908093690872, 0.5947083109617233, 0.6266223311424255, 0.5159047341346741, 0.6409758448600769, 0.5138972944021225, 0.5223071894049645, 0.5807794433832169, 0.6690141469240188, 0.6613398045301437, 0.7196444869041443, 0.5204562044143677, 0.505406648516655, 0.5688646447658539, 0.730030557513237, 0.5617878091335297, 0.5750355386734008, 0.5928491213917733, 0.7019818150997161, 0.537502900660038, 0.5746315431594848, 0.5285552164912224, 0.6564213854074478, 0.5683382892608643, 0.5010122147202491, 0.5807794454693794, 0.5425236994028091, 0.536099950671196, 0.6161367636919022, 0.5114451175928116, 0.5764802849292755, 0.5131969863176346, 0.5268782451748848, 0.5531784278154374, 0.6004117774963379, 0.5460073781013489, 0.6420834028720855, 0.6351908081769944, 0.5947083097696304, 0.6409758448600769, 0.5138972967863082, 0.5223071882128716, 0.6690141481161117, 0.6613398104906082, 0.7196444869041443, 0.5064686244726181, 0.7496208876371384, 0.5537354916334152, 0.5693589049577713, 0.5357720392942429, 0.5769216486811638, 0.5251885834336281, 0.585022851228714, 0.5593807992339134, 0.5060211682319641, 0.562971179485321, 0.610424416065216, 0.5670300906896591, 0.5730326455831528, 0.539716300368309, 0.6231897938251495, 0.5506059753894806, 0.5636259526014328, 0.7441006010770798, 0.7292072659730912, 0.5311669147014618, 0.5618006202578545, 0.6955591487884522, 0.5127387914061546, 0.6118966972827912, 0.5192726242542267, 0.5192027741670608, 0.5950223052501679, 0.6548134976625443, 0.7001401567459107, 0.5399917387962341, 0.6581358671188354, 0.5493247592449189, 0.6245514538884163, 0.5438376542925835, 0.5316823941469192, 0.5805162280797959, 0.6137473443150521, 0.5435917362570762, 0.5572718864679337, 0.6059143525362015, 0.54140216127038, 0.684106571674347, 0.5249081888794899, 0.6246965819597244, 0.5167506113648415, 0.7309340906143188, 0.6120857882499695, 0.5729869633913041, 0.6241568005084992, 0.5072369334101677, 0.5657694679498673, 0.5015138202905655, 0.5604735764861107, 0.5210867585241794, 0.6266223311424255, 0.5055852881073952, 0.5159047323465348, 0.707353367805481, 0.6340550231933594, 0.658843794465065, 0.55023790538311, 0.526666434109211, 0.5204562032222748, 0.5215694010257721, 0.5716566926240921, 0.5403370869159698, 0.532646915614605, 0.558405727148056, 0.5386243504285813, 0.5160116165876388, 0.5205627274513245, 0.51628921687603, 0.5537025356292724, 0.5765368697047234, 0.5036087858676911, 0.6340736877918244, 0.5401865673065186, 0.665015811920166, 0.5001251763105392, 0.6142725616693496, 0.5984288072586059, 0.5925243145227432, 0.5299092322587967, 0.7222034859657288, 0.7286781734228134, 0.5559987723827362, 0.6010787534713745, 0.6347197717428208, 0.5258494365215302, 0.5360452115535737, 0.5937710916996002, 0.5911855834722519, 0.6050253766775131, 0.6636801546812058, 0.5676283103227615, 0.5620732933282853, 0.5881549447774888, 0.518967524766922, 0.6315752059221268, 0.6442862719297409, 0.5181482505798339, 0.5136894950270653, 0.5573799192905426, 0.7644843035936355, 0.5247530624270439, 0.6014602589607239, 0.6115465176105499, 0.514574806690216, 0.5262716120481491, 0.6312593615055084, 0.5174707835912704, 0.5568418604135513, 0.5767579156160355, 0.5211291390657425]",0.5815009841322899
10798,CNC1=CC=C(F)C(Cl)=C1,10,"[8, 75, 314, 636, 647, 963, 967, 1046, 1187, 1255, 1529, 1530, 1566, 2025, 2141, 2149, 2315, 2318, 3139, 3520, 3521, 3526, 3538, 3539, 3545, 3549, 3553, 3567, 3571, 3791, 3800, 3817, 4014, 4015, 4016, 4327, 4363, 4374, 4792, 4793, 4794, 4795, 4796, 4802, 4812, 4813, 4863, 5105, 5170, 5171, 5389, 5849, 5855, 5882, 6222, 6839, 6888, 7087, 7093, 7273, 7275, 7443, 7444, 7545, 7557, 7585, 7930, 8441, 8540, 8556, 8600, 9025, 9094]",73,0.2610926619172096,"[0.5087220023572445, 0.5270452889800071, 0.5851235947012902, 0.5089774298667907, 0.6859194546937942, 0.53400959700346, 0.6040002113580704, 0.5506812852621078, 0.5360528329014778, 0.6581386286020279, 0.5955954140424728, 0.5360528346896172, 0.6644016253948212, 0.5516791939735413, 0.5089774265885353, 0.6859194487333298, 0.5340095975995064, 0.6040002125501632, 0.6470576804876328, 0.5386492091417313, 0.5526871645450592, 0.5580622673034668, 0.5252758693695069, 0.5304275441169739, 0.5388254195451736, 0.63161108314991, 0.6839906686544418, 0.5730213105678559, 0.539622174501419, 0.6340216666460037, 0.5683749151229859, 0.5077041494846344, 0.5366132235527039, 0.6581386291980743, 0.5260584551095963, 0.5506812828779221, 0.5930465143918991, 0.515960254073143, 0.6313009965419769, 0.5560394901037217, 0.6370246070623398, 0.6216437101364136, 0.6211048176884651, 0.6099908715486526, 0.5544742840528488, 0.5094436925649642, 0.5229545778036118, 0.67768519282341, 0.610306646823883, 0.6230913972854615, 0.6039487248659134, 0.5047037360072136, 0.6377080652117729, 0.6854133313894272, 0.6503169691562652, 0.5087219956517219, 0.5270452889800071, 0.5851235899329186, 0.5881549447774888, 0.5195221284031868, 0.5794978594779968, 0.5727429822087288, 0.532837099134922, 0.6680599159002304, 0.6753834044933319, 0.7166295456886291, 0.5470697158575057, 0.509739771783352, 0.6291768676042557, 0.6172361248731613, 0.5146820288896561, 0.5127479374408722, 0.5030044347047806]",0.580187154904212
2847,CC(=O)NCC1=CC=C(Cl)C(Cl)=C1,13,"[35, 36, 227, 233, 234, 235, 1022, 1023, 1027, 1029, 1034, 1037, 1049, 1052, 1538, 1539, 1573, 2925, 3013, 3933, 4006, 4135, 4138, 4146, 4283, 4284, 4287, 4289, 4291, 4301, 4303, 4305, 4337, 4368, 4393, 4879, 4893, 4894, 4895, 5038, 5475, 5645, 6856, 6857, 7010, 7017, 7018, 7019, 8805, 8806, 8807, 8808, 8809, 8810, 8891]",55,0.3314020337164402,"[0.5706801253557205, 0.6045532840490341, 0.5408713656663895, 0.5233053585886955, 0.5436809879541397, 0.5620864629745483, 0.5623580086231231, 0.6950897264480591, 0.5480399245023727, 0.6601440048217774, 0.5347636213898659, 0.7173660999536514, 0.517064844071865, 0.5400703197717667, 0.5270027387142181, 0.730030557513237, 0.5480399227142334, 0.5119393247365952, 0.5225618582963943, 0.598461474776268, 0.6007898658514023, 0.5125757279992104, 0.6513575267791748, 0.549281261563301, 0.6409316807985306, 0.5623580062389374, 0.6150099045038223, 0.6601440060138702, 0.5347636267542839, 0.5400703212618828, 0.517064846754074, 0.7173661035299301, 0.6950897246599197, 0.6193759298324585, 0.5817374122142792, 0.5687424612045288, 0.5089211991429329, 0.5889600515365601, 0.5286832296848297, 0.542056859433651, 0.5216272324323654, 0.5693324279785156, 0.5706801271438598, 0.6045532828569412, 0.540871359705925, 0.52330536454916, 0.5436809897422791, 0.5620864599943161, 0.539012188911438, 0.5633697363734246, 0.6184400343894958, 0.7250423586368561, 0.5466815602779388, 0.6617140817642212, 0.651972976922989]",0.582468362515623
2182,CNC1=CN=C2C=C(Cl)C(Cl)=CC2=N1,14,"[4058, 4059, 4060, 4061, 4063, 4064, 4065, 4066, 5887, 5901, 5902, 5903, 5904, 5905, 5906, 7196, 7197, 9043, 9046, 9047, 9048, 9049, 9059, 9060, 9061, 9062, 9063, 9064, 9065, 9066, 9067, 9068, 9069, 9070, 9071, 9072]",36,0.4969161182641983,"[0.6016030287742615, 0.5229667621850967, 0.5460811859369278, 0.5689623975753784, 0.5126174312829971, 0.5008786624670029, 0.5661781293153763, 0.5861724382638931, 0.5046790093183517, 0.5298614311218262, 0.5503344666957856, 0.5691497558355332, 0.555453137755394, 0.5640907377004624, 0.6289980071783066, 0.5208996325731278, 0.7094916927814484, 0.5057546281814576, 0.5691763722896576, 0.600240415930748, 0.6239862889051437, 0.5368552339076996, 0.5576059377193451, 0.532409228682518, 0.5101418536901474, 0.5290345430374146, 0.5392164516448975, 0.5375866210460662, 0.5513191908597946, 0.5186275959014892, 0.5403975975513459, 0.5345248806476594, 0.5521760541200638, 0.5171592706441879, 0.5101527523994446, 0.5552799230813981]",0.5516684096389347
793,CS(=O)C1=CC=C(Cl)C(Cl)=C1,11,"[315, 536, 773, 775, 776, 917, 921, 1856, 1857, 1880, 1881, 1882, 1887, 1924, 2053, 2108, 2109, 2276, 3145, 3147, 3150, 3151, 3188, 3189, 5551, 6376, 6414, 6419, 6422, 6576, 6577, 6781, 7088, 9031]",34,0.2723486666381359,"[0.7733694469928741, 0.5540057808160782, 0.5971011784672737, 0.5470762193202973, 0.5099747839570046, 0.5974026435613632, 0.6714383894205094, 0.5540057814121246, 0.5348907402157783, 0.5451942580938339, 0.5865100073814392, 0.5470762181282044, 0.5179020671546459, 0.5974026411771775, 0.5099747815728187, 0.5222095677256584, 0.6187342834472657, 0.6714383882284164, 0.6192826002836227, 0.6431471943855286, 0.7184956037998199, 0.6626081544160843, 0.7116496062278748, 0.6063479623198509, 0.5971011796593666, 0.501649735569954, 0.538471763432026, 0.5036654198169708, 0.5786766797304154, 0.5461476039886475, 0.5586159005761147, 0.5137098322808743, 0.7733694446086884, 0.6804537147283554]",0.5943852815557928
9782,CNC(=O)N1CCN(C2=CC=C(Cl)C(Cl)=C2)CC1,18,"[1186, 1194, 1201, 1210, 1231, 1397, 1445, 1582, 2555, 3207, 3210, 4420, 4421, 4422, 4427, 4430, 4431, 4945, 4951, 4978, 4993, 5303, 8909, 8917, 9119, 9120, 9121]",27,0.3907158735394478,"[0.62918397128582, 0.6838510239124298, 0.5877173089981079, 0.5926994562149048, 0.6110323560237885, 0.5234934428334236, 0.6479872363805771, 0.6291839742660522, 0.5234934452176094, 0.5399752123653889, 0.5124966688454151, 0.5926994532346725, 0.5877173089981079, 0.6110323607921601, 0.5497344481945038, 0.5214729711413384, 0.6838510209321975, 0.5929293006658554, 0.7278456056118011, 0.5455812621116638, 0.6601821595430374, 0.6613577198982239, 0.5108969140052796, 0.6479872399568558, 0.551730927824974, 0.5918079775571823, 0.5527418914437294]",0.5952104688242629
7262,NC(=O)N1CCN(C2=CC=C(Cl)C(Cl)=C2)CC1,17,"[1186, 1194, 1201, 1210, 1231, 1397, 1445, 1582, 2555, 3207, 3210, 4420, 4421, 4422, 4427, 4430, 4431, 4945, 4951, 4978, 4993, 5303, 8909, 8917, 9119, 9120, 9121]",27,0.3013876204006374,"[0.62918397128582, 0.6838510239124298, 0.5877173089981079, 0.5926994562149048, 0.6110323560237885, 0.5234934428334236, 0.6479872363805771, 0.6291839742660522, 0.5234934452176094, 0.5399752123653889, 0.5124966688454151, 0.5926994532346725, 0.5877173089981079, 0.6110323607921601, 0.5497344481945038, 0.5214729711413384, 0.6838510209321975, 0.5929293006658554, 0.7278456056118011, 0.5455812621116638, 0.6601821595430374, 0.6613577198982239, 0.5108969140052796, 0.6479872399568558, 0.551730927824974, 0.5918079775571823, 0.5527418914437294]",0.5952104688242629
1722,CNC(=O)C1=CC=CC(Cl)=C1O,12,"[42, 43, 433, 533, 1069, 1280, 1564, 1589, 1590, 1893, 2096, 2097, 2101, 2358, 2794, 2796, 2797, 2803, 3701, 3915, 4068, 5579, 6862, 6863, 7376, 7700, 8467]",27,0.2703909830749035,"[0.5671235758066178, 0.5086651355028152, 0.5014324597502128, 0.5578197503089904, 0.5185030767321587, 0.5135546514391899, 0.5135546573996543, 0.5713222634792328, 0.5319717210531235, 0.650185529589653, 0.6469122284650802, 0.6189035499095916, 0.6303498268127441, 0.5185030749440194, 0.6329710233211517, 0.6601940822601319, 0.6235770726203919, 0.6796251982450485, 0.6843829435110093, 0.7063296854496002, 0.5707746347784997, 0.557819749712944, 0.5671235764026642, 0.5086651372909546, 0.7621227192878723, 0.5258054701576476, 0.5802972364425659]",0.5892033344693913
4144,NC(=O)C1=CC=CC(Cl)=C1Cl,11,"[826, 827, 871, 881, 963, 1071, 2012, 2226, 2258, 2260, 2315, 2319, 2359, 2652, 2653, 4354, 6466, 6467, 6508]",19,0.2573799473047256,"[0.5013332697749138, 0.554861034154892, 0.6467530143260956, 0.5664941543340682, 0.53400959700346, 0.5260746890306472, 0.5013332712650299, 0.5548610329627991, 0.6467530113458634, 0.5664941591024398, 0.5340095975995064, 0.5574998393654823, 0.5260746896266937, 0.5130131760239601, 0.5061623230576515, 0.5968489554524422, 0.5201245668530464, 0.5156593978404999, 0.6652251982688904]",0.5543992093362307
9847,CNC1=NC2=CC(Cl)=CC=C2S1,12,"[1180, 1237, 1238, 1241, 1243, 1250, 1568, 1993, 1994, 2452, 2456, 2464, 2995, 4054, 6336, 6361, 7199]",17,0.2525312108360231,"[0.5164267581701278, 0.6465003502368927, 0.5031646749377251, 0.5573132127523422, 0.5422377640008926, 0.5702608686685562, 0.5573132067918778, 0.5435388332605362, 0.6465003460645675, 0.5031646725535392, 0.5422377634048462, 0.5702608692646026, 0.5208474254608154, 0.5164267593622207, 0.6196149384975433, 0.520190643966198, 0.5272097915410996]",0.5531299340549637
