,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
0,FC(F)(F)OC1=CC=C(OC(C=C2)=CC=C2NC(C3=CC=C(Cl)C(Cl)=C3)=O)C=C1,0.4356036937236786,0.31756214915797915,0.48086734693877553,0,[0],92
1,CC1=NN(C2=CC=C(NC(C3=CC=C(Cl)C(Cl)=C3)=O)C=C2)C(OC(C4=CC=C(Cl)C(Cl)=C4)=O)=C1,0.5937710893154144,0.48596222562531904,0.4915590863952334,1,[0],13
2,ClC1=CC=C(C2=NOC(C3=CC=CC=C3NC(C4=CC=C(Cl)C(Cl)=C4)=O)=N2)C=C1,0.4798622861504554,0.4341618191433104,0.4343915343915344,2,[0],124
3,O=C(C1=C(Cl)C=CC=C1)NC(C(NC(C2=C(Cl)C=CC=C2)=O)=C3)=CC(F)=C3Cl,0.5087220023572445,0.34880123743232794,0.46638655462184875,3,[1],56
4,CC1=CC(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)=CC(C)=C1,0.5057546281814576,0.4424552429667519,0.4475906607054148,4,[4],171
5,O=C(C(C=C1)=CC(Cl)=C1F)NC2=CC=C(F)C(Cl)=C2,0.4219947123527527,0.2840909090909091,0.4948604992657856,5,[1],174
6,CC1=CC(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)=C(C)C=C1,0.4454847002029419,0.46220633299284986,0.4674937965260546,6,[4],171
7,FC1=C(C(Br)=CC(F)=C1)NC(C2=CC=C(Cl)C(Cl)=C2)=O,0.4353739945590496,0.3287671232876712,0.4396355353075171,7,[0],174
8,CCOC1=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=CC=C1,0.4622034591436386,0.478305257784584,0.48313492063492064,8,[4],171
9,ClC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1,0.5691763722896576,0.4229390681003584,0.42722305017386986,9,[4],171
10,COC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1Cl,0.600240415930748,0.46527068437180796,0.4734982332155477,10,[4],171
11,ClC1=CC=C(CCNC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1,0.6239862889051437,0.42951541850220265,0.4326205867727499,11,[4],181
12,CC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1F,0.5368552339076996,0.4570552147239264,0.4617676266137041,12,[4],171
13,CC1=CC=CC(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)=C1,0.4434178361296654,0.4373401534526854,0.4426229508196721,13,[4],171
